DesignName,ParticipantID,TrialID,Block1,First,Size
1dir,1,1,1,E,1
1dir,1,2,2,NW,2
1dir,1,3,3,NE,1
1dir,1,4,4,SE,3
1dir,1,5,5,SW,1
1dir,1,6,6,W,3
1dir,1,7,7,SW,2
1dir,1,8,8,N,1
1dir,1,9,9,NE,2
1dir,1,10,10,W,2
1dir,1,11,11,SE,1
1dir,1,12,12,S,2
1dir,1,13,13,W,1
1dir,1,14,14,SW,3
1dir,1,15,15,N,2
1dir,1,16,16,N,3
1dir,1,17,17,E,3
1dir,1,18,18,NE,3
1dir,1,19,19,NW,1
1dir,1,20,20,S,1
1dir,1,21,21,NW,3
1dir,1,22,22,SE,2
1dir,1,23,23,S,3
1dir,1,24,24,E,2
1dir,1,25,25,SW,2
1dir,1,26,26,E,3
1dir,1,27,27,W,1
1dir,1,28,28,NW,3
1dir,1,29,29,SE,2
1dir,1,30,30,S,2
1dir,1,31,31,S,3
1dir,1,32,32,E,1
1dir,1,33,33,SW,3
1dir,1,34,34,SE,1
1dir,1,35,35,NW,1
1dir,1,36,36,SW,1
1dir,1,37,37,W,2
1dir,1,38,38,E,2
1dir,1,39,39,NW,2
1dir,1,40,40,NE,1
1dir,1,41,41,NE,2
1dir,1,42,42,N,2
1dir,1,43,43,N,3
1dir,1,44,44,SE,3
1dir,1,45,45,NE,3
1dir,1,46,46,S,1
1dir,1,47,47,W,3
1dir,1,48,48,N,1
1dir,2,49,1,E,2
1dir,2,50,2,NW,3
1dir,2,51,3,NE,2
1dir,2,52,4,SW,1
1dir,2,53,5,SW,2
1dir,2,54,6,NE,1
1dir,2,55,7,SW,3
1dir,2,56,8,N,2
1dir,2,57,9,NE,3
1dir,2,58,10,W,3
1dir,2,59,11,SE,2
1dir,2,60,12,S,3
1dir,2,61,13,W,2
1dir,2,62,14,N,1
1dir,2,63,15,N,3
1dir,2,64,16,S,1
1dir,2,65,17,W,1
1dir,2,66,18,NW,1
1dir,2,67,19,NW,2
1dir,2,68,20,S,2
1dir,2,69,21,SE,1
1dir,2,70,22,SE,3
1dir,2,71,23,E,1
1dir,2,72,24,E,3
1dir,2,73,25,SW,3
1dir,2,74,26,W,1
1dir,2,75,27,W,2
1dir,2,76,28,SE,1
1dir,2,77,29,SE,3
1dir,2,78,30,S,3
1dir,2,79,31,E,1
1dir,2,80,32,E,2
1dir,2,81,33,N,1
1dir,2,82,34,SE,2
1dir,2,83,35,NW,2
1dir,2,84,36,SW,2
1dir,2,85,37,W,3
1dir,2,86,38,E,3
1dir,2,87,39,NW,3
1dir,2,88,40,NE,2
1dir,2,89,41,NE,3
1dir,2,90,42,N,3
1dir,2,91,43,S,1
