DesignName,ParticipantID,TrialID,Block1,Letter1,Modifier1,Size
1key,1,1,1,Left,CMD_Shift,1
1key,1,2,2,Middle,CMD_Shift,1
1key,1,3,3,Middle,CMD,1
1key,1,4,4,Right,None,1
1key,1,5,5,Right,None,2
1key,1,6,6,Right,Alt,1
1key,1,7,7,Right,CMD_Alt_Shift,2
1key,1,8,8,Right,CMD_Shift,2
1key,1,9,9,Middle,CMD,2
1key,1,10,10,Middle,None,1
1key,1,11,11,Middle,CMD_Alt_Shift,1
1key,1,12,12,Left,Alt,1
1key,1,13,13,Left,CMD_Alt_Shift,2
1key,1,14,14,Right,CMD,2
1key,1,15,15,Left,None,2
1key,1,16,16,Left,CMD,1
1key,1,17,17,Left,CMD_Alt_Shift,1
1key,1,18,18,Middle,Alt,1
1key,1,19,19,Middle,Alt,2
1key,1,20,20,Left,CMD,2
1key,1,21,21,Middle,CMD_Shift,2
1key,1,22,22,Middle,CMD_Alt_Shift,2
1key,1,23,23,Left,Alt,2
1key,1,24,24,Left,CMD_Shift,2
1key,1,25,25,Right,CMD_Shift,1
1key,1,26,26,Right,CMD_Alt_Shift,1
1key,1,27,27,Middle,None,2
1key,1,28,28,Left,None,1
1key,1,29,29,Right,CMD,1
1key,1,30,30,Right,Alt,2
1key,1,31,31,Right,CMD_Alt_Shift,2
1key,1,32,32,Left,CMD_Alt_Shift,1
1key,1,33,33,Left,CMD_Alt_Shift,2
1key,1,34,34,Middle,CMD_Shift,2
1key,1,35,35,Middle,CMD_Alt_Shift,2
1key,1,36,36,Right,CMD_Shift,1
1key,1,37,37,Right,Alt,2
1key,1,38,38,Left,None,1
1key,1,39,39,Right,CMD,2
1key,1,40,40,Middle,CMD_Alt_Shift,1
1key,1,41,41,Middle,Alt,2
1key,1,42,42,Right,None,2
1key,1,43,43,Middle,None,1
1key,1,44,44,Left,CMD_Shift,2
1key,1,45,45,Middle,CMD_Shift,1
1key,1,46,46,Middle,CMD,1
1key,1,47,47,Middle,CMD,2
1key,1,48,48,Left,None,2
1key,1,49,49,Left,CMD,1
1key,1,50,50,Right,None,1
1key,1,51,51,Middle,Alt,1
1key,1,52,52,Left,CMD,2
1key,1,53,53,Right,Alt,1
1key,1,54,54,Right,CMD_Shift,2
1key,1,55,55,Middle,None,2
1key,1,56,56,Right,CMD,1
1key,1,57,57,Left,Alt,1
1key,1,58,58,Left,CMD_Shift,1
1key,1,59,59,Left,Alt,2
1key,1,60,60,Right,CMD_Alt_Shift,1
1key,1,61,61,Right,Alt,2
1key,1,62,62,Middle,CMD,2
1key,1,63,63,Middle,None,1
1key,1,64,64,Middle,Alt,1
1key,1,65,65,Left,CMD,2
1key,1,66,66,Middle,None,2
1key,1,67,67,Right,CMD_Alt_Shift,1
1key,1,68,68,Left,CMD_Shift,1
1key,1,69,69,Left,CMD_Shift,2
1key,1,70,70,Middle,Alt,2
1key,1,71,71,Left,CMD,1
1key,1,72,72,Middle,CMD_Alt_Shift,2
1key,1,73,73,Middle,CMD_Alt_Shift,1
1key,1,74,74,Right,CMD_Shift,2
1key,1,75,75,Left,CMD_Alt_Shift,1
1key,1,76,76,Left,CMD_Alt_Shift,2
1key,1,77,77,Right,CMD,2
1key,1,78,78,Middle,CMD_Shift,1
1key,1,79,79,Middle,CMD,1
1key,1,80,80,Middle,CMD_Shift,2
1key,1,81,81,Left,None,2
1key,1,82,82,Right,None,1
1key,1,83,83,Right,CMD_Shift,1
1key,1,84,84,Left,None,1
1key,1,85,85,Left,Alt,1
1key,1,86,86,Left,Alt,2
1key,1,87,87,Right,None,2
1key,1,88,88,Right,CMD_Alt_Shift,2
1key,1,89,89,Right,Alt,1
1key,1,90,90,Right,CMD,1
1key,2,91,1,Left,CMD_Shift,2
1key,2,92,2,Middle,CMD_Shift,2
1key,2,93,3,Middle,CMD,2
1key,2,94,4,Right,None,2
1key,2,95,5,Right,CMD,1
1key,2,96,6,Right,Alt,2
1key,2,97,7,Left,None,1
1key,2,98,8,Right,CMD_Alt_Shift,1
1key,2,99,9,Middle,Alt,1
1key,2,100,10,Middle,None,2
1key,2,101,11,Middle,CMD_Alt_Shift,2
1key,2,102,12,Left,Alt,2
1key,2,103,13,Middle,None,1
1key,2,104,14,Right,Alt,1
1key,2,105,15,Left,CMD,1
1key,2,106,16,Left,CMD,2
1key,2,107,17,Left,CMD_Alt_Shift,2
1key,2,108,18,Middle,Alt,2
1key,2,109,19,Middle,CMD_Shift,1
1key,2,110,20,Left,Alt,1
1key,2,111,21,Middle,CMD_Alt_Shift,1
1key,2,112,22,Right,None,1
