DesignName,ParticipantID,TrialID,Block1,First,Second,Size
2dir,1,1,1,E,SW,1
2dir,1,2,2,W,S,2
2dir,1,3,3,SW,S,1
2dir,1,4,4,S,E,1
2dir,1,5,5,E,W,1
2dir,1,6,6,SE,S,2
2dir,1,7,7,NW,NE,2
2dir,1,8,8,NW,SW,2
2dir,1,9,9,NE,SW,1
2dir,1,10,10,W,N,1
2dir,1,11,11,W,NW,1
2dir,1,12,12,W,W,2
2dir,1,13,13,W,SW,2
2dir,1,14,14,NE,N,1
2dir,1,15,15,NW,E,1
2dir,1,16,16,SW,SE,1
2dir,1,17,17,N,NE,1
2dir,1,18,18,NW,NW,2
2dir,1,19,19,NE,NW,2
2dir,1,20,20,NE,SE,1
2dir,1,21,21,SW,N,1
2dir,1,22,22,S,S,2
2dir,1,23,23,N,E,2
2dir,1,24,24,SW,E,1
2dir,1,25,25,NW,S,2
2dir,1,26,26,NW,W,1
2dir,1,27,27,SE,NE,1
2dir,1,28,28,SE,S,1
2dir,1,29,29,S,W,1
2dir,1,30,30,S,NE,2
2dir,1,31,31,NE,S,2
2dir,1,32,32,E,NE,1
2dir,1,33,33,N,N,1
2dir,1,34,34,W,NW,2
2dir,1,35,35,SW,NW,2
2dir,1,36,36,W,E,1
2dir,1,37,37,W,SW,1
2dir,1,38,38,NE,E,1
2dir,1,39,39,NE,E,2
2dir,1,40,40,N,SW,2
2dir,1,41,41,NW,S,1
2dir,1,42,42,S,SW,1
2dir,1,43,43,NW,SE,2
2dir,1,44,44,SW,SE,2
2dir,1,45,45,N,NE,2
2dir,1,46,46,S,S,1
2dir,1,47,47,NE,SW,2
2dir,1,48,48,N,SE,1
2dir,1,49,49,SE,SE,1
2dir,1,50,50,N,E,1
2dir,1,51,51,E,NW,2
2dir,1,52,52,W,S,1
2dir,1,53,53,E,N,2
2dir,1,54,54,W,SE,1
2dir,1,55,55,NE,N,2
2dir,1,56,56,SW,NE,2
2dir,1,57,57,NW,N,1
2dir,1,58,58,E,E,1
2dir,1,59,59,E,SE,2
2dir,1,60,60,SE,E,1
2dir,1,61,61,S,NW,1
2dir,1,62,62,SE,SW,1
2dir,1,63,63,SW,SW,1
2dir,1,64,64,E,SE,1
2dir,1,65,65,S,W,2
2dir,1,66,66,W,SE,2
2dir,1,67,67,S,NE,1
2dir,1,68,68,S,SE,1
2dir,1,69,69,E,SW,2
2dir,1,70,70,NE,W,1
2dir,1,71,71,E,S,1
2dir,1,72,72,NE,NE,2
2dir,1,73,73,W,W,1
2dir,1,74,74,SW,E,2
2dir,1,75,75,NW,N,2
2dir,1,76,76,SE,N,1
2dir,1,77,77,N,S,2
2dir,1,78,78,N,S,1
2dir,1,79,79,SE,W,2
2dir,1,80,80,N,W,1
2dir,1,81,81,NW,SE,1
2dir,1,82,82,N,SE,2
2dir,1,83,83,NE,NE,1
2dir,1,84,84,SE,NW,1
2dir,1,85,85,SW,NW,1
2dir,1,86,86,S,NW,2
2dir,1,87,87,E,NE,2
2dir,1,88,88,NE,W,2
2dir,1,89,89,NE,S,1
2dir,1,90,90,E,S,2
2dir,1,91,91,SE,SE,2
2dir,1,92,92,SE,NW,2
2dir,1,93,93,NW,NE,1
2dir,1,94,94,S,SE,2
2dir,1,95,95,W,N,2
2dir,1,96,96,W,NE,2
2dir,1,97,97,SW,SW,2
2dir,1,98,98,N,W,2
2dir,1,99,99,SW,W,2
2dir,1,100,100,W,NE,1
2dir,1,101,101,E,NW,1
2dir,1,102,102,SW,S,2
2dir,1,103,103,NE,SE,2
2dir,1,104,104,S,SW,2
2dir,1,105,105,N,NW,2
2dir,1,106,106,SE,N,2
2dir,1,107,107,W,E,2
2dir,1,108,108,NW,NW,1
2dir,1,109,109,SW,NE,1
2dir,1,110,110,NW,W,2
2dir,1,111,111,NE,NW,1
2dir,1,112,112,N,N,2
2dir,1,113,113,S,N,2
2dir,1,114,114,E,E,2
2dir,1,115,115,SW,N,2
2dir,1,116,116,SW,W,1
2dir,1,117,117,SE,E,2
2dir,1,118,118,N,SW,1
2dir,1,119,119,SE,NE,2
2dir,1,120,120,E,N,1
2dir,1,121,121,N,NW,1
2dir,1,122,122,NW,SW,1
2dir,1,123,123,SE,SW,2
2dir,1,124,124,S,E,2
2dir,1,125,125,SE,W,1
2dir,1,126,126,S,N,1
2dir,1,127,127,NW,E,2
2dir,1,128,128,E,W,2
2dir,2,129,1,E,SW,2
2dir,2,130,2,W,E,1
2dir,2,131,3,SW,S,2
2dir,2,132,4,S,E,2
2dir,2,133,5,E,W,2
2dir,2,134,6,SE,E,1
2dir,2,135,7,NW,NW,1
2dir,2,136,8,SE,N,1
2dir,2,137,9,NE,SW,2
2dir,2,138,10,W,N,2
2dir,2,139,11,W,NW,2
2dir,2,140,12,W,NE,1
2dir,2,141,13,NE,N,1
2dir,2,142,14,NE,N,2
2dir,2,143,15,NW,E,2
2dir,2,144,16,SW,SE,2
2dir,2,145,17,N,NE,2
2dir,2,146,18,NW,SE,1
2dir,2,147,19,NE,SE,1
