DesignName,ParticipantID,TrialID,Block1,First,Size,NbOfActions
gesture,1,1,1,S,2,1
gesture,1,2,2,NE,1,1
gesture,1,3,3,W,1,1
gesture,1,4,4,NW,1,1
gesture,1,5,5,NW,1,2
gesture,1,6,6,SE,1,1
gesture,1,7,7,SW,1,2
gesture,1,8,8,SE,2,2
gesture,1,9,9,SW,2,2
gesture,1,10,10,E,2,1
gesture,1,11,11,NE,2,1
gesture,1,12,12,S,1,1
gesture,1,13,13,E,1,2
gesture,1,14,14,NW,2,2
gesture,1,15,15,N,1,2
gesture,1,16,16,N,2,1
gesture,1,17,17,E,1,1
gesture,1,18,18,W,2,1
gesture,1,19,19,W,2,2
gesture,1,20,20,N,2,2
gesture,1,21,21,NE,1,2
gesture,1,22,22,NE,2,2
gesture,1,23,23,S,1,2
gesture,1,24,24,S,2,2
gesture,1,25,25,SE,2,1
gesture,1,26,26,SW,2,1
gesture,1,27,27,E,2,2
gesture,1,28,28,N,1,1
gesture,1,29,29,NW,2,1
gesture,1,30,30,SE,1,2
gesture,1,31,31,SW,1,1
gesture,1,32,32,W,1,2
gesture,2,33,1,S,2,2
gesture,2,34,2,NE,1,2
gesture,2,35,3,W,1,2
gesture,2,36,4,NW,1,2
gesture,2,37,5,NW,2,1
gesture,2,38,6,SE,1,2
gesture,2,39,7,SW,2,1
gesture,2,40,8,SW,1,1
gesture,2,41,9,N,1,1
gesture,2,42,10,E,2,2
gesture,2,43,11,NE,2,2
gesture,2,44,12,S,1,2
gesture,2,45,13,E,2,1
gesture,2,46,14,SE,1,1
gesture,2,47,15,N,2,1
gesture,2,48,16,N,2,2
gesture,2,49,17,E,1,2
gesture,2,50,18,W,2,2
gesture,2,51,19,NE,1,1
gesture,2,52,20,S,1,1
gesture,2,53,21,NE,2,1
gesture,2,54,22,NW,1,1
gesture,2,55,23,S,2,1
gesture,2,56,24,E,1,1
gesture,2,57,25,SE,2,2
gesture,2,58,26,SW,2,2
gesture,2,59,27,W,1,1
gesture,2,60,28,N,1,2
gesture,2,61,29,NW,2,2
gesture,2,62,30,SE,2,1
gesture,2,63,31,SW,1,2
gesture,2,64,32,W,2,1
gesture,3,65,1,E,1,1
gesture,3,66,2,NE,2,1
gesture,3,67,3,W,2,1
gesture,3,68,4,NW,2,1
gesture,3,69,5,NW,2,2
gesture,3,70,6,SE,2,1
gesture,3,71,7,SW,2,2
gesture,3,72,8,SW,1,2
gesture,3,73,9,N,1,2
gesture,3,74,10,W,1,1
gesture,3,75,11,NW,1,1
gesture,3,76,12,S,2,1
gesture,3,77,13,E,2,2
gesture,3,78,14,SE,1,2
gesture,3,79,15,N,2,2
gesture,3,80,16,S,1,1
gesture,3,81,17,E,2,1
gesture,3,82,18,NE,1,1
gesture,3,83,19,NE,1,2
gesture,3,84,20,S,1,2
gesture,3,85,21,NE,2,2
gesture,3,86,22,NW,1,2
gesture,3,87,23,S,2,2
gesture,3,88,24,E,1,2
gesture,3,89,25,SW,1,1
gesture,3,90,26,N,1,1
gesture,3,91,27,W,1,2
gesture,3,92,28,N,2,1
gesture,3,93,29,SE,1,1
gesture,3,94,30,SE,2,2
gesture,3,95,31,SW,2,1
gesture,3,96,32,W,2,2
gesture,4,97,1,E,1,2
gesture,4,98,2,NE,2,2
gesture,4,99,3,W,2,2
