DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Modifier2,Size
2key,1,1,1,Right,Left,CMD_Shift,CMD_Alt_Shift,2
2key,1,2,2,Left,Middle,None,None,2
2key,1,3,3,Left,Right,CMD,Alt,1
2key,1,4,4,Left,Left,Alt,None,1
2key,1,5,5,Left,Left,CMD_Shift,CMD_Alt_Shift,1
2key,1,6,6,Middle,Middle,Alt,Alt,1
2key,1,7,7,Right,Middle,None,CMD_Alt_Shift,1
2key,1,8,8,Left,Middle,CMD_Alt_Shift,Alt,2
2key,1,9,9,Left,Middle,Alt,CMD_Alt_Shift,1
2key,1,10,10,Right,Middle,CMD_Shift,None,1
2key,1,11,11,Right,Right,None,Alt,2
2key,1,12,12,Left,Middle,None,Alt,2
2key,1,13,13,Middle,Middle,CMD,CMD,1
2key,1,14,14,Left,Middle,CMD,Alt,1
2key,1,15,15,Right,Right,CMD,CMD_Shift,1
2key,1,16,16,Left,Right,Alt,Alt,1
2key,1,17,17,Middle,Left,CMD,Alt,1
2key,1,18,18,Right,Left,None,CMD_Alt_Shift,1
2key,1,19,19,Middle,Middle,CMD_Alt_Shift,Alt,1
2key,1,20,20,Middle,Left,CMD_Alt_Shift,CMD_Shift,1
2key,1,21,21,Left,Right,CMD,CMD,1
2key,1,22,22,Middle,Right,CMD_Shift,CMD_Shift,1
2key,1,23,23,Middle,Left,CMD_Shift,CMD_Shift,1
2key,1,24,24,Middle,Left,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,25,25,Right,Left,CMD_Shift,Alt,1
2key,1,26,26,Right,Left,CMD_Alt_Shift,None,2
2key,1,27,27,Middle,Middle,None,CMD_Alt_Shift,1
2key,1,28,28,Middle,Left,Alt,CMD_Alt_Shift,1
2key,1,29,29,Middle,Left,None,CMD_Shift,2
2key,1,30,30,Right,Right,None,None,2
2key,1,31,31,Left,Middle,CMD,CMD_Shift,2
2key,1,32,32,Right,Right,CMD,Alt,1
2key,1,33,33,Right,Right,Alt,None,2
2key,1,34,34,Right,Left,CMD_Shift,CMD_Shift,1
2key,1,35,35,Middle,Left,CMD,None,2
2key,1,36,36,Right,Middle,CMD,Alt,1
2key,1,37,37,Right,Left,None,CMD,2
2key,1,38,38,Right,Middle,Alt,CMD_Alt_Shift,1
2key,1,39,39,Right,Left,Alt,CMD_Shift,2
2key,1,40,40,Middle,Left,CMD_Alt_Shift,Alt,1
2key,1,41,41,Left,Middle,CMD_Shift,CMD,1
2key,1,42,42,Right,Left,CMD_Alt_Shift,CMD_Shift,1
2key,1,43,43,Middle,Left,None,CMD_Alt_Shift,2
2key,1,44,44,Right,Right,None,None,1
2key,1,45,45,Left,Left,None,CMD_Alt_Shift,2
2key,1,46,46,Right,Middle,CMD_Shift,Alt,2
2key,1,47,47,Right,Middle,CMD_Shift,CMD_Alt_Shift,1
2key,1,48,48,Right,Right,CMD_Shift,None,1
2key,1,49,49,Right,Middle,CMD,CMD_Shift,1
2key,1,50,50,Middle,Left,Alt,CMD_Alt_Shift,2
2key,1,51,51,Right,Middle,CMD_Shift,CMD_Shift,1
2key,1,52,52,Left,Middle,None,None,1
2key,1,53,53,Middle,Right,CMD_Shift,Alt,1
2key,1,54,54,Right,Left,CMD,None,1
2key,1,55,55,Right,Left,CMD,CMD_Shift,1
2key,1,56,56,Left,Right,Alt,None,2
2key,1,57,57,Right,Left,None,CMD_Shift,1
2key,1,58,58,Right,Left,Alt,CMD,2
2key,1,59,59,Middle,Right,None,None,1
2key,1,60,60,Middle,Middle,CMD_Shift,Alt,2
2key,1,61,61,Middle,Middle,CMD,CMD,2
2key,1,62,62,Left,Right,CMD,None,1
2key,1,63,63,Middle,Middle,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,64,64,Left,Left,CMD_Alt_Shift,Alt,1
2key,1,65,65,Right,Middle,CMD,None,1
2key,1,66,66,Left,Right,CMD_Alt_Shift,Alt,1
2key,1,67,67,Right,Middle,CMD,CMD_Shift,2
2key,1,68,68,Right,Middle,CMD_Shift,CMD_Shift,2
2key,1,69,69,Middle,Right,None,CMD_Shift,2
2key,1,70,70,Right,Middle,Alt,Alt,2
2key,1,71,71,Right,Middle,CMD_Shift,None,2
2key,1,72,72,Middle,Right,CMD,CMD_Alt_Shift,1
2key,1,73,73,Middle,Right,CMD,CMD_Alt_Shift,2
2key,1,74,74,Left,Right,CMD,CMD_Shift,2
2key,1,75,75,Right,Right,Alt,CMD_Alt_Shift,1
2key,1,76,76,Middle,Right,CMD_Shift,CMD,1
2key,1,77,77,Left,Left,None,CMD,2
2key,1,78,78,Middle,Right,CMD,CMD_Shift,2
2key,1,79,79,Left,Right,None,CMD,2
2key,1,80,80,Middle,Middle,None,CMD_Alt_Shift,2
2key,1,81,81,Right,Right,CMD_Shift,CMD_Alt_Shift,2
2key,1,82,82,Right,Middle,Alt,CMD_Shift,2
2key,1,83,83,Left,Middle,Alt,CMD,1
2key,1,84,84,Middle,Left,Alt,None,1
2key,1,85,85,Right,Right,CMD_Shift,CMD_Shift,1
2key,1,86,86,Right,Left,CMD,Alt,1
2key,1,87,87,Left,Left,CMD_Alt_Shift,None,2
2key,1,88,88,Left,Middle,Alt,None,2
2key,1,89,89,Left,Middle,CMD,CMD_Shift,1
2key,1,90,90,Right,Left,CMD_Shift,CMD,2
2key,1,91,91,Right,Right,CMD,CMD_Shift,2
2key,1,92,92,Right,Middle,CMD_Alt_Shift,None,1
2key,1,93,93,Right,Right,Alt,Alt,2
2key,1,94,94,Left,Left,Alt,CMD_Alt_Shift,2
2key,1,95,95,Left,Left,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,96,96,Middle,Left,CMD_Alt_Shift,CMD_Shift,2
2key,1,97,97,Left,Right,Alt,CMD_Shift,2
2key,1,98,98,Left,Right,CMD_Shift,CMD,1
2key,1,99,99,Middle,Middle,None,None,2
2key,1,100,100,Right,Middle,CMD_Shift,CMD,2
2key,1,101,101,Left,Left,CMD_Alt_Shift,CMD,1
2key,1,102,102,Left,Right,CMD,Alt,2
2key,1,103,103,Left,Middle,Alt,CMD_Shift,2
2key,1,104,104,Left,Left,CMD_Shift,None,2
2key,1,105,105,Left,Left,CMD,None,2
2key,1,106,106,Left,Middle,CMD_Alt_Shift,CMD_Shift,2
2key,1,107,107,Middle,Middle,CMD_Shift,CMD_Shift,2
2key,1,108,108,Right,Middle,CMD_Alt_Shift,Alt,2
2key,1,109,109,Right,Right,CMD_Alt_Shift,Alt,2
2key,1,110,110,Right,Left,Alt,CMD,1
2key,1,111,111,Left,Right,CMD_Shift,CMD_Alt_Shift,1
2key,1,112,112,Right,Right,CMD,CMD_Alt_Shift,1
2key,1,113,113,Middle,Middle,CMD_Shift,Alt,1
2key,1,114,114,Middle,Middle,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,115,115,Left,Right,CMD,CMD,2
2key,1,116,116,Middle,Right,None,Alt,1
2key,1,117,117,Left,Right,CMD_Alt_Shift,CMD_Shift,2
2key,1,118,118,Middle,Middle,CMD_Alt_Shift,CMD,2
2key,1,119,119,Left,Right,None,Alt,2
2key,1,120,120,Left,Left,CMD_Shift,CMD,1
2key,1,121,121,Left,Left,CMD,None,1
2key,1,122,122,Right,Middle,None,CMD_Shift,1
2key,1,123,123,Right,Right,Alt,None,1
2key,1,124,124,Right,Middle,None,CMD_Shift,2
2key,1,125,125,Left,Right,None,CMD,1
2key,1,126,126,Left,Right,CMD_Alt_Shift,CMD,2
2key,1,127,127,Right,Right,CMD_Shift,CMD,1
2key,1,128,128,Left,Right,CMD_Alt_Shift,None,1
2key,1,129,129,Left,Middle,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,130,130,Left,Middle,CMD_Shift,CMD,2
2key,1,131,131,Left,Right,CMD,CMD_Alt_Shift,1
2key,1,132,132,Middle,Right,CMD_Alt_Shift,CMD,2
2key,1,133,133,Middle,Right,CMD_Alt_Shift,CMD,1
2key,1,134,134,Middle,Middle,None,Alt,2
2key,1,135,135,Middle,Middle,CMD,Alt,1
2key,1,136,136,Left,Middle,Alt,CMD_Alt_Shift,2
2key,1,137,137,Left,Left,None,CMD_Alt_Shift,1
2key,1,138,138,Middle,Left,None,CMD_Shift,1
2key,1,139,139,Middle,Left,CMD,CMD_Alt_Shift,1
2key,1,140,140,Left,Middle,None,CMD_Alt_Shift,1
2key,1,141,141,Left,Left,CMD_Shift,CMD_Alt_Shift,2
2key,1,142,142,Left,Left,CMD,CMD_Shift,1
2key,1,143,143,Middle,Right,CMD,None,1
2key,1,144,144,Right,Right,Alt,CMD,1
2key,1,145,145,Left,Right,CMD_Shift,CMD_Shift,2
2key,1,146,146,Middle,Left,CMD,Alt,2
2key,1,147,147,Left,Left,CMD_Shift,Alt,1
2key,1,148,148,Left,Right,None,None,2
2key,1,149,149,Left,Right,Alt,Alt,2
2key,1,150,150,Left,Left,Alt,CMD_Alt_Shift,1
2key,1,151,151,Right,Middle,CMD_Alt_Shift,CMD_Shift,1
2key,1,152,152,Right,Left,CMD_Shift,CMD_Alt_Shift,1
2key,1,153,153,Middle,Middle,Alt,CMD_Shift,2
2key,1,154,154,Left,Middle,Alt,Alt,2
2key,1,155,155,Middle,Middle,Alt,Alt,2
2key,1,156,156,Left,Left,CMD_Shift,None,1
2key,1,157,157,Middle,Middle,CMD,CMD_Shift,1
2key,1,158,158,Right,Middle,Alt,CMD_Alt_Shift,2
2key,1,159,159,Right,Middle,None,None,1
2key,1,160,160,Right,Left,Alt,Alt,2
2key,1,161,161,Right,Middle,None,Alt,1
2key,1,162,162,Left,Right,Alt,CMD,2
2key,1,163,163,Left,Left,Alt,Alt,2
2key,1,164,164,Right,Left,CMD_Shift,Alt,2
2key,1,165,165,Middle,Left,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,166,166,Left,Middle,Alt,CMD,2
2key,1,167,167,Left,Left,CMD,CMD_Alt_Shift,2
2key,1,168,168,Left,Left,CMD,CMD,2
2key,1,169,169,Left,Middle,Alt,Alt,1
2key,1,170,170,Middle,Left,CMD_Alt_Shift,CMD,2
2key,1,171,171,Right,Left,None,Alt,2
2key,1,172,172,Middle,Left,CMD_Shift,CMD_Alt_Shift,1
2key,1,173,173,Left,Left,None,Alt,2
2key,1,174,174,Middle,Left,None,Alt,1
2key,1,175,175,Middle,Right,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,176,176,Right,Left,Alt,None,2
2key,1,177,177,Right,Middle,CMD,None,2
2key,1,178,178,Middle,Left,CMD_Shift,Alt,2
2key,1,179,179,Left,Right,Alt,CMD_Alt_Shift,1
2key,1,180,180,Middle,Right,Alt,CMD_Shift,1
2key,1,181,181,Middle,Right,Alt,CMD_Alt_Shift,2
2key,1,182,182,Right,Middle,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,183,183,Left,Left,None,CMD_Shift,2
2key,1,184,184,Right,Right,CMD_Alt_Shift,None,2
2key,1,185,185,Right,Right,CMD_Alt_Shift,CMD,1
2key,1,186,186,Left,Right,CMD,None,2
2key,1,187,187,Middle,Middle,Alt,CMD_Shift,1
2key,1,188,188,Middle,Middle,CMD_Shift,CMD,2
2key,1,189,189,Middle,Right,None,CMD_Alt_Shift,2
2key,1,190,190,Middle,Left,CMD_Alt_Shift,Alt,2
2key,1,191,191,Middle,Left,None,Alt,2
2key,1,192,192,Middle,Left,CMD,CMD_Shift,1
2key,1,193,193,Middle,Left,Alt,CMD,1
2key,1,194,194,Middle,Middle,CMD_Alt_Shift,None,2
2key,1,195,195,Right,Left,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,196,196,Middle,Middle,Alt,CMD,1
2key,1,197,197,Middle,Right,CMD_Shift,CMD_Shift,2
2key,1,198,198,Middle,Middle,None,CMD,2
2key,1,199,199,Left,Right,CMD,CMD_Shift,1
2key,1,200,200,Middle,Right,Alt,CMD,1
2key,1,201,201,Right,Left,None,CMD_Alt_Shift,2
2key,1,202,202,Middle,Right,None,None,2
2key,1,203,203,Right,Middle,CMD,CMD,1
2key,1,204,204,Right,Right,Alt,CMD_Alt_Shift,2
2key,1,205,205,Middle,Right,CMD_Alt_Shift,CMD_Shift,2
2key,1,206,206,Left,Middle,CMD_Alt_Shift,None,2
2key,1,207,207,Left,Left,CMD_Shift,CMD_Shift,1
2key,1,208,208,Middle,Right,CMD,CMD,2
2key,1,209,209,Right,Left,None,None,1
2key,1,210,210,Left,Left,None,CMD_Shift,1
2key,1,211,211,Middle,Right,CMD,CMD,1
2key,1,212,212,Right,Right,CMD_Shift,CMD_Shift,2
2key,1,213,213,Left,Middle,CMD,CMD,2
2key,1,214,214,Right,Right,CMD_Shift,Alt,1
2key,1,215,215,Right,Middle,CMD_Alt_Shift,CMD,1
2key,1,216,216,Middle,Left,CMD,CMD,2
2key,1,217,217,Left,Middle,CMD,None,2
2key,1,218,218,Right,Right,None,Alt,1
2key,1,219,219,Middle,Left,CMD_Shift,CMD,2
2key,1,220,220,Middle,Middle,CMD_Alt_Shift,CMD_Shift,2
2key,1,221,221,Left,Right,None,CMD_Shift,2
2key,1,222,222,Middle,Middle,None,CMD_Shift,2
2key,1,223,223,Left,Left,CMD_Shift,Alt,2
2key,1,224,224,Middle,Left,CMD_Alt_Shift,None,1
2key,1,225,225,Right,Right,None,CMD,1
2key,1,226,226,Left,Left,CMD_Alt_Shift,None,1
2key,1,227,227,Middle,Left,CMD_Alt_Shift,CMD,1
2key,1,228,228,Middle,Right,None,CMD,2
2key,1,229,229,Middle,Left,Alt,None,2
2key,1,230,230,Right,Middle,None,CMD,2
2key,1,231,231,Right,Left,Alt,Alt,1
2key,1,232,232,Middle,Right,CMD_Shift,None,2
2key,1,233,233,Middle,Right,CMD,Alt,1
2key,1,234,234,Left,Middle,CMD,Alt,2
2key,1,235,235,Left,Left,CMD,CMD_Shift,2
2key,1,236,236,Middle,Middle,CMD_Alt_Shift,CMD_Shift,1
2key,1,237,237,Middle,Left,Alt,CMD_Shift,1
2key,1,238,238,Right,Left,Alt,CMD_Alt_Shift,1
2key,1,239,239,Left,Middle,CMD_Shift,Alt,2
2key,1,240,240,Middle,Right,None,CMD_Shift,1
2key,1,241,241,Middle,Right,Alt,CMD,2
2key,1,242,242,Left,Middle,None,CMD,2
2key,1,243,243,Middle,Left,Alt,CMD,2
2key,1,244,244,Left,Right,CMD_Alt_Shift,CMD,1
2key,1,245,245,Middle,Left,None,CMD,2
2key,1,246,246,Middle,Right,Alt,CMD_Shift,2
2key,1,247,247,Middle,Right,Alt,Alt,2
2key,1,248,248,Left,Left,CMD_Shift,CMD,2
2key,1,249,249,Left,Right,Alt,CMD_Shift,1
2key,1,250,250,Left,Left,CMD_Shift,CMD_Shift,2
2key,1,251,251,Middle,Right,CMD_Shift,Alt,2
2key,1,252,252,Left,Right,CMD,CMD_Alt_Shift,2
2key,1,253,253,Right,Middle,Alt,CMD_Shift,1
2key,1,254,254,Middle,Right,CMD_Shift,None,1
2key,1,255,255,Left,Right,CMD_Shift,None,1
2key,1,256,256,Middle,Middle,None,None,1
2key,1,257,257,Right,Left,CMD_Shift,None,2
2key,1,258,258,Left,Left,CMD_Alt_Shift,CMD_Shift,2
2key,1,259,259,Right,Middle,CMD_Shift,Alt,1
2key,1,260,260,Middle,Left,None,None,2
2key,1,261,261,Right,Right,CMD_Alt_Shift,Alt,1
2key,1,262,262,Middle,Right,CMD,Alt,2
2key,1,263,263,Right,Right,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,264,264,Right,Middle,CMD,CMD,2
2key,1,265,265,Left,Middle,None,CMD_Shift,2
2key,1,266,266,Middle,Left,CMD_Shift,None,2
2key,1,267,267,Right,Middle,CMD_Alt_Shift,CMD_Shift,2
2key,1,268,268,Middle,Right,CMD_Alt_Shift,Alt,1
2key,1,269,269,Right,Right,CMD,CMD,2
2key,1,270,270,Right,Middle,CMD_Alt_Shift,CMD,2
2key,1,271,271,Left,Right,CMD_Alt_Shift,CMD_Shift,1
2key,1,272,272,Left,Left,None,None,1
2key,1,273,273,Left,Right,CMD_Shift,CMD_Shift,1
2key,1,274,274,Left,Right,CMD_Shift,None,2
2key,1,275,275,Left,Middle,CMD_Alt_Shift,CMD_Shift,1
2key,1,276,276,Left,Right,None,None,1
2key,1,277,277,Right,Right,CMD_Alt_Shift,CMD,2
2key,1,278,278,Middle,Middle,Alt,CMD_Alt_Shift,1
2key,1,279,279,Middle,Left,Alt,Alt,1
2key,1,280,280,Middle,Middle,CMD,CMD_Alt_Shift,2
2key,1,281,281,Right,Left,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,282,282,Middle,Right,None,Alt,2
2key,1,283,283,Middle,Right,Alt,Alt,1
2key,1,284,284,Middle,Left,CMD_Shift,None,1
2key,1,285,285,Middle,Right,CMD_Shift,CMD,2
2key,1,286,286,Left,Left,CMD_Alt_Shift,Alt,2
2key,1,287,287,Middle,Left,CMD_Alt_Shift,None,2
2key,1,288,288,Left,Middle,Alt,CMD_Shift,1
2key,1,289,289,Right,Left,Alt,CMD_Alt_Shift,2
2key,1,290,290,Right,Left,CMD_Shift,None,1
2key,1,291,291,Middle,Middle,CMD_Shift,None,2
2key,1,292,292,Right,Middle,None,None,2
2key,1,293,293,Middle,Left,CMD_Shift,CMD,1
2key,1,294,294,Middle,Left,None,None,1
2key,1,295,295,Right,Middle,Alt,CMD,1
2key,1,296,296,Left,Middle,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,297,297,Left,Right,CMD_Alt_Shift,Alt,2
2key,1,298,298,Right,Right,Alt,CMD_Shift,2
2key,1,299,299,Middle,Left,CMD,None,1
2key,1,300,300,Middle,Right,CMD_Alt_Shift,CMD_Shift,1
2key,1,301,301,Right,Middle,CMD,Alt,2
2key,1,302,302,Right,Left,CMD_Alt_Shift,Alt,1
2key,1,303,303,Right,Left,None,None,2
2key,1,304,304,Right,Middle,CMD,CMD_Alt_Shift,1
2key,1,305,305,Middle,Left,CMD,CMD,1
2key,1,306,306,Left,Right,None,CMD_Shift,1
2key,1,307,307,Right,Left,CMD_Shift,CMD_Shift,2
2key,1,308,308,Middle,Left,Alt,Alt,2
2key,1,309,309,Left,Right,CMD_Shift,CMD,2
2key,1,310,310,Right,Middle,CMD_Alt_Shift,Alt,1
2key,1,311,311,Left,Middle,CMD,None,1
2key,1,312,312,Right,Right,None,CMD_Alt_Shift,2
2key,1,313,313,Middle,Left,CMD,CMD_Alt_Shift,2
2key,1,314,314,Left,Right,None,CMD_Alt_Shift,2
2key,1,315,315,Left,Left,Alt,CMD_Shift,2
2key,1,316,316,Left,Right,Alt,None,1
2key,1,317,317,Right,Right,None,CMD,2
2key,1,318,318,Right,Right,CMD,None,1
2key,1,319,319,Middle,Middle,Alt,None,2
2key,1,320,320,Left,Middle,CMD_Shift,CMD_Alt_Shift,1
2key,1,321,321,Left,Right,CMD_Alt_Shift,None,2
2key,1,322,322,Middle,Middle,CMD_Shift,CMD_Alt_Shift,2
2key,1,323,323,Left,Middle,CMD_Shift,CMD_Shift,2
2key,1,324,324,Right,Left,CMD,None,2
2key,1,325,325,Right,Right,None,CMD_Shift,2
2key,1,326,326,Middle,Right,CMD_Alt_Shift,None,1
2key,1,327,327,Right,Left,None,CMD,1
2key,1,328,328,Left,Middle,CMD,CMD_Alt_Shift,2
2key,1,329,329,Right,Left,CMD,CMD,1
2key,1,330,330,Middle,Middle,CMD,None,1
2key,1,331,331,Left,Right,Alt,CMD,1
2key,1,332,332,Right,Middle,Alt,None,1
2key,1,333,333,Right,Left,CMD_Alt_Shift,None,1
2key,1,334,334,Middle,Left,CMD_Shift,CMD_Alt_Shift,2
2key,1,335,335,Middle,Middle,CMD,Alt,2
2key,1,336,336,Left,Right,Alt,CMD_Alt_Shift,2
2key,1,337,337,Right,Right,CMD_Shift,Alt,2
2key,1,338,338,Left,Middle,CMD_Shift,None,1
2key,1,339,339,Left,Left,None,None,2
2key,1,340,340,Middle,Middle,CMD_Shift,None,1
2key,1,341,341,Left,Right,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,342,342,Left,Middle,CMD_Shift,CMD_Shift,1
2key,1,343,343,Middle,Middle,CMD,CMD_Shift,2
2key,1,344,344,Middle,Left,CMD_Shift,CMD_Shift,2
2key,1,345,345,Right,Middle,CMD_Shift,CMD_Alt_Shift,2
2key,1,346,346,Middle,Right,CMD_Alt_Shift,None,2
2key,1,347,347,Right,Left,CMD,CMD_Shift,2
2key,1,348,348,Middle,Right,CMD,None,2
2key,1,349,349,Left,Left,CMD,Alt,2
2key,1,350,350,Middle,Middle,CMD_Shift,CMD_Alt_Shift,1
2key,1,351,351,Middle,Left,None,CMD,1
2key,1,352,352,Left,Middle,None,CMD_Shift,1
2key,1,353,353,Right,Middle,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,354,354,Middle,Middle,CMD_Shift,CMD,1
2key,1,355,355,Middle,Left,None,CMD_Alt_Shift,1
2key,1,356,356,Right,Left,CMD_Alt_Shift,Alt,2
2key,1,357,357,Right,Middle,Alt,CMD,2
2key,1,358,358,Right,Right,CMD_Shift,None,2
2key,1,359,359,Left,Middle,CMD_Shift,CMD_Alt_Shift,2
2key,1,360,360,Right,Left,None,CMD_Shift,2
2key,1,361,361,Left,Left,Alt,CMD,2
2key,1,362,362,Left,Left,CMD_Alt_Shift,CMD,2
