DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Size
2key,1,1,1,Middle,Middle,CMD_Shift,1
2key,1,2,2,Middle,Right,None,2
2key,1,3,3,Middle,Left,CMD_Shift,2
2key,1,4,4,Left,Right,None,1
2key,1,5,5,Middle,Left,CMD_Alt_Shift,1
2key,1,6,6,Middle,Right,CMD_Shift,1
2key,1,7,7,Right,Right,CMD_Alt_Shift,2
2key,1,8,8,Middle,Right,CMD_Shift,2
2key,1,9,9,Right,Middle,CMD_Alt_Shift,1
2key,1,10,10,Middle,Middle,CMD_Alt_Shift,1
2key,1,11,11,Middle,Right,CMD_Alt_Shift,1
2key,1,12,12,Middle,Right,Alt,2
2key,1,13,13,Right,Left,CMD,2
2key,1,14,14,Right,Left,Alt,1
2key,1,15,15,Right,Right,Alt,1
2key,1,16,16,Right,Middle,CMD_Shift,2
2key,1,17,17,Left,Left,CMD_Alt_Shift,1
2key,1,18,18,Right,Right,CMD_Shift,2
2key,1,19,19,Right,Middle,Alt,2
2key,1,20,20,Right,Middle,CMD_Shift,1
2key,1,21,21,Left,Middle,CMD_Shift,2
2key,1,22,22,Left,Middle,CMD_Alt_Shift,2
2key,1,23,23,Left,Left,Alt,2
2key,1,24,24,Left,Left,CMD_Shift,2
2key,1,25,25,Right,Right,CMD,2
2key,1,26,26,Right,Right,CMD_Shift,1
2key,1,27,27,Left,Middle,None,2
2key,1,28,28,Middle,Left,CMD,1
2key,1,29,29,Left,Right,CMD,1
2key,1,30,30,Left,Right,Alt,2
2key,1,31,31,Right,Left,CMD_Shift,2
2key,1,32,32,Middle,Middle,None,1
2key,1,33,33,Left,Left,None,1
2key,1,34,34,Middle,Right,CMD_Alt_Shift,2
2key,1,35,35,Left,Right,None,2
2key,1,36,36,Middle,Right,CMD,1
2key,1,37,37,Right,Left,CMD,1
2key,1,38,38,Right,Left,CMD_Alt_Shift,1
2key,1,39,39,Right,Left,CMD_Alt_Shift,2
2key,1,40,40,Left,Middle,Alt,2
2key,1,41,41,Right,Right,CMD,1
2key,1,42,42,Middle,Left,None,1
2key,1,43,43,Left,Right,CMD_Alt_Shift,2
2key,1,44,44,Left,Middle,CMD_Shift,1
2key,1,45,45,Left,Left,CMD_Alt_Shift,2
2key,1,46,46,Left,Middle,CMD_Alt_Shift,1
2key,1,47,47,Right,Middle,CMD_Alt_Shift,2
2key,1,48,48,Left,Middle,CMD,1
2key,1,49,49,Left,Middle,None,1
2key,1,50,50,Left,Left,Alt,1
2key,1,51,51,Middle,Middle,CMD,2
2key,1,52,52,Middle,Right,None,1
2key,1,53,53,Middle,Left,CMD,2
2key,1,54,54,Right,Left,None,1
2key,1,55,55,Right,Left,Alt,2
2key,1,56,56,Middle,Middle,CMD_Alt_Shift,2
2key,1,57,57,Right,Right,None,1
2key,1,58,58,Middle,Left,CMD_Shift,1
2key,1,59,59,Middle,Middle,Alt,2
2key,1,60,60,Middle,Middle,CMD,1
2key,1,61,61,Left,Right,CMD_Shift,1
2key,1,62,62,Right,Middle,Alt,1
2key,1,63,63,Right,Right,Alt,2
2key,1,64,64,Middle,Middle,Alt,1
2key,1,65,65,Left,Right,CMD,2
2key,1,66,66,Right,Left,None,2
2key,1,67,67,Left,Right,Alt,1
2key,1,68,68,Left,Right,CMD_Alt_Shift,1
2key,1,69,69,Middle,Middle,CMD_Shift,2
2key,1,70,70,Right,Middle,None,1
2key,1,71,71,Middle,Left,Alt,1
2key,1,72,72,Right,Middle,CMD,2
2key,1,73,73,Middle,Right,Alt,1
2key,1,74,74,Left,Middle,Alt,1
2key,1,75,75,Right,Right,None,2
2key,1,76,76,Middle,Left,CMD_Alt_Shift,2
2key,1,77,77,Left,Left,CMD,2
2key,1,78,78,Left,Left,CMD,1
2key,1,79,79,Middle,Left,None,2
2key,1,80,80,Left,Left,CMD_Shift,1
2key,1,81,81,Right,Right,CMD_Alt_Shift,1
2key,1,82,82,Left,Middle,CMD,2
2key,1,83,83,Right,Middle,CMD,1
2key,1,84,84,Middle,Right,CMD,2
2key,1,85,85,Left,Left,None,2
2key,1,86,86,Left,Right,CMD_Shift,2
2key,1,87,87,Middle,Middle,None,2
2key,1,88,88,Right,Middle,None,2
2key,1,89,89,Right,Left,CMD_Shift,1
2key,1,90,90,Middle,Left,Alt,2
2key,2,91,1,Middle,Middle,CMD_Shift,2
2key,2,92,2,Middle,Right,CMD,1
2key,2,93,3,Middle,Left,CMD_Alt_Shift,1
2key,2,94,4,Left,Right,None,2
2key,2,95,5,Middle,Left,CMD_Alt_Shift,2
2key,2,96,6,Middle,Right,CMD_Shift,2
2key,2,97,7,Left,Left,None,1
2key,2,98,8,Middle,Right,CMD_Alt_Shift,1
2key,2,99,9,Right,Middle,CMD_Alt_Shift,2
2key,2,100,10,Middle,Middle,CMD_Alt_Shift,2
2key,2,101,11,Middle,Right,CMD_Alt_Shift,2
2key,2,102,12,Middle,Right,CMD_Shift,1
2key,2,103,13,Right,Left,Alt,1
2key,2,104,14,Right,Left,Alt,2
2key,2,105,15,Right,Right,Alt,2
2key,2,106,16,Right,Middle,CMD_Alt_Shift,1
2key,2,107,17,Left,Left,CMD_Alt_Shift,2
2key,2,108,18,Right,Right,CMD_Alt_Shift,1
2key,2,109,19,Right,Middle,CMD_Shift,1
2key,2,110,20,Right,Middle,CMD_Shift,2
2key,2,111,21,Left,Middle,CMD_Alt_Shift,1
2key,2,112,22,Left,Right,None,1
2key,2,113,23,Left,Left,CMD_Shift,1
2key,2,114,24,Left,Left,CMD_Alt_Shift,1
2key,2,115,25,Right,Right,Alt,1
2key,2,116,26,Right,Right,CMD_Shift,2
2key,2,117,27,Left,Middle,CMD,1
2key,2,118,28,Middle,Left,CMD,2
2key,2,119,29,Left,Right,CMD,2
2key,2,120,30,Left,Right,CMD_Shift,1
2key,2,121,31,Right,Left,CMD_Alt_Shift,1
2key,2,122,32,Middle,Middle,None,2
2key,2,123,33,Left,Left,None,2
2key,2,124,34,Right,Left,None,1
2key,2,125,35,Left,Right,CMD,1
2key,2,126,36,Middle,Right,CMD,2
2key,2,127,37,Right,Left,CMD,2
2key,2,128,38,Right,Left,CMD_Alt_Shift,2
2key,2,129,39,Right,Middle,None,1
2key,2,130,40,Left,Middle,CMD_Shift,1
2key,2,131,41,Right,Right,CMD,2
2key,2,132,42,Middle,Left,None,2
2key,2,133,43,Middle,Left,None,1
2key,2,134,44,Left,Middle,CMD_Shift,2
2key,2,135,45,Left,Middle,None,1
2key,2,136,46,Left,Middle,CMD_Alt_Shift,2
2key,2,137,47,Right,Right,None,1
2key,2,138,48,Left,Middle,CMD,2
2key,2,139,49,Left,Middle,None,2
2key,2,140,50,Left,Left,Alt,2
2key,2,141,51,Middle,Middle,Alt,1
2key,2,142,52,Middle,Right,None,2
2key,2,143,53,Middle,Left,Alt,1
2key,2,144,54,Right,Left,None,2
2key,2,145,55,Right,Left,CMD_Shift,1
2key,2,146,56,Middle,Right,None,1
2key,2,147,57,Right,Right,None,2
2key,2,148,58,Middle,Left,CMD_Shift,2
2key,2,149,59,Middle,Middle,CMD_Shift,1
2key,2,150,60,Middle,Middle,CMD,2
2key,2,151,61,Left,Right,CMD_Shift,2
2key,2,152,62,Right,Middle,Alt,2
2key,2,153,63,Right,Right,CMD_Shift,1
2key,2,154,64,Middle,Middle,Alt,2
2key,2,155,65,Left,Right,Alt,1
2key,2,156,66,Right,Left,CMD,1
2key,2,157,67,Left,Right,Alt,2
2key,2,158,68,Left,Right,CMD_Alt_Shift,2
2key,2,159,69,Middle,Middle,CMD_Alt_Shift,1
2key,2,160,70,Right,Middle,None,2
2key,2,161,71,Middle,Left,Alt,2
2key,2,162,72,Right,Middle,Alt,1
2key,2,163,73,Middle,Right,Alt,2
2key,2,164,74,Left,Middle,Alt,2
2key,2,165,75,Right,Right,CMD,1
2key,2,166,76,Middle,Middle,None,1
2key,2,167,77,Left,Left,Alt,1
2key,2,168,78,Left,Left,CMD,2
2key,2,169,79,Middle,Left,CMD,1
2key,2,170,80,Left,Left,CMD_Shift,2
2key,2,171,81,Right,Right,CMD_Alt_Shift,2
2key,2,172,82,Left,Middle,Alt,1
2key,2,173,83,Right,Middle,CMD,2
2key,2,174,84,Middle,Right,Alt,1
