DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,NbDraw,NbAngle
MultiDrawMultiAngle,1,1,1,1,1,NE_SE,4,2,1
MultiDrawMultiAngle,1,2,1,2,1,SW_NW,1,2,2
MultiDrawMultiAngle,1,3,1,3,1,NE_SE,2,1,2
MultiDrawMultiAngle,1,4,1,4,1,S_W,2,1,1
MultiDrawMultiAngle,1,5,1,5,1,NE_SE,2,2,1
MultiDrawMultiAngle,1,6,1,6,1,SW_NW,3,1,1
MultiDrawMultiAngle,1,7,1,7,1,NE_SE,1,2,2
MultiDrawMultiAngle,1,8,1,8,1,SW_NW,3,1,2
MultiDrawMultiAngle,1,9,1,9,1,S_W,4,2,2
MultiDrawMultiAngle,1,10,1,10,1,SW_NW,1,1,1
MultiDrawMultiAngle,1,11,1,11,1,SW_NW,3,2,1
MultiDrawMultiAngle,1,12,1,12,1,SW_NW,2,2,2
MultiDrawMultiAngle,1,13,1,13,1,SW_NW,4,2,2
MultiDrawMultiAngle,1,14,1,14,1,S_W,2,2,2
MultiDrawMultiAngle,1,15,1,15,1,N_E,1,1,2
MultiDrawMultiAngle,1,16,1,16,1,N_E,1,2,1
MultiDrawMultiAngle,1,17,1,17,1,N_E,3,1,1
MultiDrawMultiAngle,1,18,1,18,1,N_E,4,2,1
MultiDrawMultiAngle,1,19,1,19,1,NE_SE,2,2,2
MultiDrawMultiAngle,1,20,1,20,1,N_E,1,2,2
MultiDrawMultiAngle,1,21,1,21,1,S_W,1,1,2
MultiDrawMultiAngle,1,22,1,22,1,S_W,1,2,2
MultiDrawMultiAngle,1,23,1,23,1,N_E,2,1,2
MultiDrawMultiAngle,1,24,1,24,1,N_E,2,2,2
MultiDrawMultiAngle,1,25,1,25,1,SW_NW,2,1,2
MultiDrawMultiAngle,1,26,1,26,1,NE_SE,3,1,2
MultiDrawMultiAngle,1,27,1,27,1,N_E,3,2,2
MultiDrawMultiAngle,1,28,1,28,1,NE_SE,1,1,1
MultiDrawMultiAngle,1,29,1,29,1,S_W,2,2,1
MultiDrawMultiAngle,1,30,1,30,1,S_W,3,1,2
MultiDrawMultiAngle,1,31,1,31,1,S_W,4,1,1
MultiDrawMultiAngle,1,32,1,32,1,NE_SE,3,1,1
MultiDrawMultiAngle,1,33,1,33,1,N_E,1,1,1
MultiDrawMultiAngle,1,34,1,34,1,SW_NW,3,2,2
MultiDrawMultiAngle,1,35,1,35,1,S_W,2,1,2
MultiDrawMultiAngle,1,36,1,36,1,SW_NW,2,1,1
MultiDrawMultiAngle,1,37,1,37,1,SW_NW,4,2,1
MultiDrawMultiAngle,1,38,1,38,1,NE_SE,4,2,2
MultiDrawMultiAngle,1,39,1,39,1,NE_SE,1,2,1
MultiDrawMultiAngle,1,40,1,40,1,N_E,4,2,2
MultiDrawMultiAngle,1,41,1,41,1,SW_NW,2,2,1
MultiDrawMultiAngle,1,42,1,42,1,S_W,4,2,1
MultiDrawMultiAngle,1,43,1,43,1,S_W,4,1,2
MultiDrawMultiAngle,1,44,1,44,1,S_W,1,1,1
MultiDrawMultiAngle,1,45,1,45,1,N_E,3,1,2
MultiDrawMultiAngle,1,46,1,46,1,S_W,1,2,1
MultiDrawMultiAngle,1,47,1,47,1,N_E,2,2,1
MultiDrawMultiAngle,1,48,1,48,1,N_E,4,1,1
MultiDrawMultiAngle,1,49,1,49,1,N_E,3,2,1
MultiDrawMultiAngle,1,50,1,50,1,N_E,2,1,1
MultiDrawMultiAngle,1,51,1,51,1,NE_SE,3,2,2
MultiDrawMultiAngle,1,52,1,52,1,SW_NW,1,2,1
MultiDrawMultiAngle,1,53,1,53,1,NE_SE,1,1,2
MultiDrawMultiAngle,1,54,1,54,1,SW_NW,4,1,1
MultiDrawMultiAngle,1,55,1,55,1,SW_NW,4,1,2
MultiDrawMultiAngle,1,56,1,56,1,SW_NW,1,1,2
MultiDrawMultiAngle,1,57,1,57,1,S_W,3,1,1
MultiDrawMultiAngle,1,58,1,58,1,NE_SE,2,1,1
MultiDrawMultiAngle,1,59,1,59,1,NE_SE,4,1,2
MultiDrawMultiAngle,1,60,1,60,1,NE_SE,3,2,1
MultiDrawMultiAngle,1,61,1,61,1,S_W,3,2,1
MultiDrawMultiAngle,1,62,1,62,1,N_E,4,1,2
MultiDrawMultiAngle,1,63,1,63,1,S_W,3,2,2
MultiDrawMultiAngle,1,64,1,64,1,NE_SE,4,1,1
MultiDrawMultiAngle,1,65,2,1,2,NE_SE,4,2,1
MultiDrawMultiAngle,1,66,2,2,2,SW_NW,1,2,2
MultiDrawMultiAngle,1,67,2,3,2,NE_SE,2,1,2
MultiDrawMultiAngle,1,68,2,4,2,S_W,2,1,1
MultiDrawMultiAngle,1,69,2,5,2,NE_SE,2,2,1
MultiDrawMultiAngle,1,70,2,6,2,SW_NW,3,1,1
MultiDrawMultiAngle,1,71,2,7,2,NE_SE,1,2,2
MultiDrawMultiAngle,1,72,2,8,2,SW_NW,3,1,2
MultiDrawMultiAngle,1,73,2,9,2,S_W,4,2,2
MultiDrawMultiAngle,1,74,2,10,2,SW_NW,1,1,1
MultiDrawMultiAngle,1,75,2,11,2,SW_NW,3,2,1
MultiDrawMultiAngle,1,76,2,12,2,SW_NW,2,2,2
MultiDrawMultiAngle,1,77,2,13,2,SW_NW,4,2,2
MultiDrawMultiAngle,1,78,2,14,2,S_W,2,2,2
MultiDrawMultiAngle,1,79,2,15,2,N_E,1,1,2
MultiDrawMultiAngle,1,80,2,16,2,N_E,1,2,1
MultiDrawMultiAngle,1,81,2,17,2,N_E,3,1,1
MultiDrawMultiAngle,1,82,2,18,2,N_E,4,2,1
MultiDrawMultiAngle,1,83,2,19,2,NE_SE,2,2,2
MultiDrawMultiAngle,1,84,2,20,2,N_E,1,2,2
MultiDrawMultiAngle,1,85,2,21,2,S_W,1,1,2
MultiDrawMultiAngle,1,86,2,22,2,S_W,1,2,2
MultiDrawMultiAngle,1,87,2,23,2,N_E,2,1,2
MultiDrawMultiAngle,1,88,2,24,2,N_E,2,2,2
MultiDrawMultiAngle,1,89,2,25,2,SW_NW,2,1,2
MultiDrawMultiAngle,1,90,2,26,2,NE_SE,3,1,2
MultiDrawMultiAngle,1,91,2,27,2,N_E,3,2,2
MultiDrawMultiAngle,1,92,2,28,2,NE_SE,1,1,1
MultiDrawMultiAngle,1,93,2,29,2,S_W,2,2,1
MultiDrawMultiAngle,1,94,2,30,2,S_W,3,1,2
MultiDrawMultiAngle,1,95,2,31,2,S_W,4,1,1
MultiDrawMultiAngle,1,96,2,32,2,NE_SE,3,1,1
MultiDrawMultiAngle,1,97,2,33,2,N_E,1,1,1
MultiDrawMultiAngle,1,98,2,34,2,SW_NW,3,2,2
MultiDrawMultiAngle,1,99,2,35,2,S_W,2,1,2
MultiDrawMultiAngle,1,100,2,36,2,SW_NW,2,1,1
MultiDrawMultiAngle,1,101,2,37,2,SW_NW,4,2,1
MultiDrawMultiAngle,1,102,2,38,2,NE_SE,4,2,2
MultiDrawMultiAngle,1,103,2,39,2,NE_SE,1,2,1
MultiDrawMultiAngle,1,104,2,40,2,N_E,4,2,2
MultiDrawMultiAngle,1,105,2,41,2,SW_NW,2,2,1
MultiDrawMultiAngle,1,106,2,42,2,S_W,4,2,1
MultiDrawMultiAngle,1,107,2,43,2,S_W,4,1,2
MultiDrawMultiAngle,1,108,2,44,2,S_W,1,1,1
MultiDrawMultiAngle,1,109,2,45,2,N_E,3,1,2
MultiDrawMultiAngle,1,110,2,46,2,S_W,1,2,1
MultiDrawMultiAngle,1,111,2,47,2,N_E,2,2,1
MultiDrawMultiAngle,1,112,2,48,2,N_E,4,1,1
MultiDrawMultiAngle,1,113,2,49,2,N_E,3,2,1
MultiDrawMultiAngle,1,114,2,50,2,N_E,2,1,1
MultiDrawMultiAngle,1,115,2,51,2,NE_SE,3,2,2
MultiDrawMultiAngle,1,116,2,52,2,SW_NW,1,2,1
MultiDrawMultiAngle,1,117,2,53,2,NE_SE,1,1,2
MultiDrawMultiAngle,1,118,2,54,2,SW_NW,4,1,1
MultiDrawMultiAngle,1,119,2,55,2,SW_NW,4,1,2
MultiDrawMultiAngle,1,120,2,56,2,SW_NW,1,1,2
MultiDrawMultiAngle,1,121,2,57,2,S_W,3,1,1
MultiDrawMultiAngle,1,122,2,58,2,NE_SE,2,1,1
MultiDrawMultiAngle,1,123,2,59,2,NE_SE,4,1,2
MultiDrawMultiAngle,1,124,2,60,2,NE_SE,3,2,1
MultiDrawMultiAngle,1,125,2,61,2,S_W,3,2,1
MultiDrawMultiAngle,1,126,2,62,2,N_E,4,1,2
MultiDrawMultiAngle,1,127,2,63,2,S_W,3,2,2
MultiDrawMultiAngle,1,128,2,64,2,NE_SE,4,1,1
MultiDrawMultiAngle,1,129,3,1,3,NE_SE,4,2,1
MultiDrawMultiAngle,1,130,3,2,3,SW_NW,1,2,2
MultiDrawMultiAngle,1,131,3,3,3,NE_SE,2,1,2
