DesignName,ParticipantID,TrialID,Block1,Block2,Block,NbModi,Size,Repeat
MultiRepeat,1,1,1,1,1,1,3,1
MultiRepeat,1,2,1,2,1,1,3,3
MultiRepeat,1,3,1,3,1,1,4,1
MultiRepeat,1,4,1,4,1,1,1,2
MultiRepeat,1,5,1,5,1,1,2,1
MultiRepeat,1,6,1,6,1,1,4,3
MultiRepeat,1,7,1,7,1,1,2,3
MultiRepeat,1,8,1,8,1,1,1,1
MultiRepeat,1,9,1,9,1,1,3,2
MultiRepeat,1,10,1,10,1,1,4,2
MultiRepeat,1,11,1,11,1,1,1,3
MultiRepeat,1,12,1,12,1,1,2,2
MultiRepeat,1,13,2,1,2,1,3,1
MultiRepeat,1,14,2,2,2,1,3,3
MultiRepeat,1,15,2,3,2,1,4,1
MultiRepeat,1,16,2,4,2,1,1,2
MultiRepeat,1,17,2,5,2,1,2,1
MultiRepeat,1,18,2,6,2,1,4,3
MultiRepeat,1,19,2,7,2,1,2,3
MultiRepeat,1,20,2,8,2,1,1,1
MultiRepeat,1,21,2,9,2,1,3,2
MultiRepeat,1,22,2,10,2,1,4,2
MultiRepeat,1,23,2,11,2,1,1,3
MultiRepeat,1,24,2,12,2,1,2,2
MultiRepeat,1,25,3,1,3,1,3,1
MultiRepeat,1,26,3,2,3,1,3,3
MultiRepeat,1,27,3,3,3,1,4,1
MultiRepeat,1,28,3,4,3,1,1,2
MultiRepeat,1,29,3,5,3,1,2,1
MultiRepeat,1,30,3,6,3,1,4,3
MultiRepeat,1,31,3,7,3,1,2,3
MultiRepeat,1,32,3,8,3,1,1,1
MultiRepeat,1,33,3,9,3,1,3,2
MultiRepeat,1,34,3,10,3,1,4,2
MultiRepeat,1,35,3,11,3,1,1,3
MultiRepeat,1,36,3,12,3,1,2,2
MultiRepeat,1,37,4,1,4,1,3,1
MultiRepeat,1,38,4,2,4,1,3,3
MultiRepeat,1,39,4,3,4,1,4,1
MultiRepeat,1,40,4,4,4,1,1,2
MultiRepeat,1,41,4,5,4,1,2,1
MultiRepeat,1,42,4,6,4,1,4,3
MultiRepeat,1,43,4,7,4,1,2,3
MultiRepeat,1,44,4,8,4,1,1,1
MultiRepeat,1,45,4,9,4,1,3,2
MultiRepeat,1,46,4,10,4,1,4,2
MultiRepeat,1,47,4,11,4,1,1,3
MultiRepeat,1,48,4,12,4,1,2,2
MultiRepeat,1,49,5,1,5,1,3,1
MultiRepeat,1,50,5,2,5,1,3,3
MultiRepeat,1,51,5,3,5,1,4,1
MultiRepeat,1,52,5,4,5,1,1,2
MultiRepeat,1,53,5,5,5,1,2,1
MultiRepeat,1,54,5,6,5,1,4,3
MultiRepeat,1,55,5,7,5,1,2,3
MultiRepeat,1,56,5,8,5,1,1,1
MultiRepeat,1,57,5,9,5,1,3,2
MultiRepeat,1,58,5,10,5,1,4,2
MultiRepeat,1,59,5,11,5,1,1,3
MultiRepeat,1,60,5,12,5,1,2,2
MultiRepeat,2,61,1,1,1,1,3,2
MultiRepeat,2,62,1,2,1,1,4,1
MultiRepeat,2,63,1,3,1,1,4,2
MultiRepeat,2,64,1,4,1,1,1,3
MultiRepeat,2,65,1,5,1,1,2,2
MultiRepeat,2,66,1,6,1,1,1,1
MultiRepeat,2,67,1,7,1,1,3,1
MultiRepeat,2,68,1,8,1,1,1,2
MultiRepeat,2,69,1,9,1,1,3,3
MultiRepeat,2,70,1,10,1,1,4,3
MultiRepeat,2,71,1,11,1,1,2,1
MultiRepeat,2,72,1,12,1,1,2,3
MultiRepeat,2,73,2,1,2,1,3,2
MultiRepeat,2,74,2,2,2,1,4,1
MultiRepeat,2,75,2,3,2,1,4,2
MultiRepeat,2,76,2,4,2,1,1,3
MultiRepeat,2,77,2,5,2,1,2,2
MultiRepeat,2,78,2,6,2,1,1,1
MultiRepeat,2,79,2,7,2,1,3,1
MultiRepeat,2,80,2,8,2,1,1,2
MultiRepeat,2,81,2,9,2,1,3,3
MultiRepeat,2,82,2,10,2,1,4,3
MultiRepeat,2,83,2,11,2,1,2,1
MultiRepeat,2,84,2,12,2,1,2,3
MultiRepeat,2,85,3,1,3,1,3,2
MultiRepeat,2,86,3,2,3,1,4,1
MultiRepeat,2,87,3,3,3,1,4,2
MultiRepeat,2,88,3,4,3,1,1,3
MultiRepeat,2,89,3,5,3,1,2,2
MultiRepeat,2,90,3,6,3,1,1,1
MultiRepeat,2,91,3,7,3,1,3,1
MultiRepeat,2,92,3,8,3,1,1,2
MultiRepeat,2,93,3,9,3,1,3,3
MultiRepeat,2,94,3,10,3,1,4,3
MultiRepeat,2,95,3,11,3,1,2,1
MultiRepeat,2,96,3,12,3,1,2,3
MultiRepeat,2,97,4,1,4,1,3,2
MultiRepeat,2,98,4,2,4,1,4,1
MultiRepeat,2,99,4,3,4,1,4,2
MultiRepeat,2,100,4,4,4,1,1,3
MultiRepeat,2,101,4,5,4,1,2,2
MultiRepeat,2,102,4,6,4,1,1,1
MultiRepeat,2,103,4,7,4,1,3,1
MultiRepeat,2,104,4,8,4,1,1,2
MultiRepeat,2,105,4,9,4,1,3,3
MultiRepeat,2,106,4,10,4,1,4,3
MultiRepeat,2,107,4,11,4,1,2,1
MultiRepeat,2,108,4,12,4,1,2,3
MultiRepeat,2,109,5,1,5,1,3,2
MultiRepeat,2,110,5,2,5,1,4,1
MultiRepeat,2,111,5,3,5,1,4,2
MultiRepeat,2,112,5,4,5,1,1,3
MultiRepeat,2,113,5,5,5,1,2,2
MultiRepeat,2,114,5,6,5,1,1,1
MultiRepeat,2,115,5,7,5,1,3,1
MultiRepeat,2,116,5,8,5,1,1,2
MultiRepeat,2,117,5,9,5,1,3,3
MultiRepeat,2,118,5,10,5,1,4,3
MultiRepeat,2,119,5,11,5,1,2,1
MultiRepeat,2,120,5,12,5,1,2,3
MultiRepeat,3,121,1,1,1,1,3,3
MultiRepeat,3,122,1,2,1,1,4,2
MultiRepeat,3,123,1,3,1,1,4,3
MultiRepeat,3,124,1,4,1,1,2,1
MultiRepeat,3,125,1,5,1,1,2,3
MultiRepeat,3,126,1,6,1,1,1,2
MultiRepeat,3,127,1,7,1,1,3,2
MultiRepeat,3,128,1,8,1,1,1,3
MultiRepeat,3,129,1,9,1,1,4,1
MultiRepeat,3,130,1,10,1,1,1,1
MultiRepeat,3,131,1,11,1,1,2,2
MultiRepeat,3,132,1,12,1,1,3,1
MultiRepeat,3,133,2,1,2,1,3,3
MultiRepeat,3,134,2,2,2,1,4,2
MultiRepeat,3,135,2,3,2,1,4,3
MultiRepeat,3,136,2,4,2,1,2,1
MultiRepeat,3,137,2,5,2,1,2,3
MultiRepeat,3,138,2,6,2,1,1,2
MultiRepeat,3,139,2,7,2,1,3,2
MultiRepeat,3,140,2,8,2,1,1,3
MultiRepeat,3,141,2,9,2,1,4,1
MultiRepeat,3,142,2,10,2,1,1,1
MultiRepeat,3,143,2,11,2,1,2,2
