DesignName,ParticipantID,TrialID,Block1,Block2,Block,Size,Repeat,NbAngle
GestureMultiAngle,1,1,1,1,1,4,1,1
GestureMultiAngle,1,2,1,2,1,4,1,2
GestureMultiAngle,1,3,1,3,1,2,1,1
GestureMultiAngle,1,4,1,4,1,1,1,2
GestureMultiAngle,1,5,1,5,1,2,1,2
GestureMultiAngle,1,6,1,6,1,3,1,1
GestureMultiAngle,1,7,1,7,1,3,1,2
GestureMultiAngle,1,8,1,8,1,1,1,1
GestureMultiAngle,1,9,2,1,2,4,1,1
GestureMultiAngle,1,10,2,2,2,4,1,2
GestureMultiAngle,1,11,2,3,2,2,1,1
GestureMultiAngle,1,12,2,4,2,1,1,2
GestureMultiAngle,1,13,2,5,2,2,1,2
GestureMultiAngle,1,14,2,6,2,3,1,1
GestureMultiAngle,1,15,2,7,2,3,1,2
GestureMultiAngle,1,16,2,8,2,1,1,1
GestureMultiAngle,1,17,3,1,3,4,1,1
GestureMultiAngle,1,18,3,2,3,4,1,2
GestureMultiAngle,1,19,3,3,3,2,1,1
GestureMultiAngle,1,20,3,4,3,1,1,2
GestureMultiAngle,1,21,3,5,3,2,1,2
GestureMultiAngle,1,22,3,6,3,3,1,1
GestureMultiAngle,1,23,3,7,3,3,1,2
GestureMultiAngle,1,24,3,8,3,1,1,1
GestureMultiAngle,1,25,4,1,4,4,1,1
GestureMultiAngle,1,26,4,2,4,4,1,2
GestureMultiAngle,1,27,4,3,4,2,1,1
GestureMultiAngle,1,28,4,4,4,1,1,2
GestureMultiAngle,1,29,4,5,4,2,1,2
GestureMultiAngle,1,30,4,6,4,3,1,1
GestureMultiAngle,1,31,4,7,4,3,1,2
GestureMultiAngle,1,32,4,8,4,1,1,1
GestureMultiAngle,1,33,5,1,5,4,1,1
GestureMultiAngle,1,34,5,2,5,4,1,2
GestureMultiAngle,1,35,5,3,5,2,1,1
GestureMultiAngle,1,36,5,4,5,1,1,2
GestureMultiAngle,1,37,5,5,5,2,1,2
GestureMultiAngle,1,38,5,6,5,3,1,1
GestureMultiAngle,1,39,5,7,5,3,1,2
GestureMultiAngle,1,40,5,8,5,1,1,1
GestureMultiAngle,1,41,6,1,6,4,1,1
GestureMultiAngle,1,42,6,2,6,4,1,2
GestureMultiAngle,1,43,6,3,6,2,1,1
GestureMultiAngle,1,44,6,4,6,1,1,2
GestureMultiAngle,1,45,6,5,6,2,1,2
GestureMultiAngle,1,46,6,6,6,3,1,1
GestureMultiAngle,1,47,6,7,6,3,1,2
GestureMultiAngle,1,48,6,8,6,1,1,1
GestureMultiAngle,2,49,1,1,1,4,1,2
GestureMultiAngle,2,50,1,2,1,1,1,1
GestureMultiAngle,2,51,1,3,1,2,1,2
GestureMultiAngle,2,52,1,4,1,2,1,1
GestureMultiAngle,2,53,1,5,1,3,1,1
GestureMultiAngle,2,54,1,6,1,3,1,2
GestureMultiAngle,2,55,1,7,1,4,1,1
GestureMultiAngle,2,56,1,8,1,1,1,2
GestureMultiAngle,2,57,2,1,2,4,1,2
GestureMultiAngle,2,58,2,2,2,1,1,1
GestureMultiAngle,2,59,2,3,2,2,1,2
GestureMultiAngle,2,60,2,4,2,2,1,1
GestureMultiAngle,2,61,2,5,2,3,1,1
GestureMultiAngle,2,62,2,6,2,3,1,2
GestureMultiAngle,2,63,2,7,2,4,1,1
GestureMultiAngle,2,64,2,8,2,1,1,2
GestureMultiAngle,2,65,3,1,3,4,1,2
GestureMultiAngle,2,66,3,2,3,1,1,1
GestureMultiAngle,2,67,3,3,3,2,1,2
GestureMultiAngle,2,68,3,4,3,2,1,1
GestureMultiAngle,2,69,3,5,3,3,1,1
GestureMultiAngle,2,70,3,6,3,3,1,2
GestureMultiAngle,2,71,3,7,3,4,1,1
GestureMultiAngle,2,72,3,8,3,1,1,2
GestureMultiAngle,2,73,4,1,4,4,1,2
GestureMultiAngle,2,74,4,2,4,1,1,1
GestureMultiAngle,2,75,4,3,4,2,1,2
GestureMultiAngle,2,76,4,4,4,2,1,1
GestureMultiAngle,2,77,4,5,4,3,1,1
GestureMultiAngle,2,78,4,6,4,3,1,2
GestureMultiAngle,2,79,4,7,4,4,1,1
GestureMultiAngle,2,80,4,8,4,1,1,2
GestureMultiAngle,2,81,5,1,5,4,1,2
GestureMultiAngle,2,82,5,2,5,1,1,1
GestureMultiAngle,2,83,5,3,5,2,1,2
GestureMultiAngle,2,84,5,4,5,2,1,1
GestureMultiAngle,2,85,5,5,5,3,1,1
GestureMultiAngle,2,86,5,6,5,3,1,2
GestureMultiAngle,2,87,5,7,5,4,1,1
GestureMultiAngle,2,88,5,8,5,1,1,2
GestureMultiAngle,2,89,6,1,6,4,1,2
GestureMultiAngle,2,90,6,2,6,1,1,1
GestureMultiAngle,2,91,6,3,6,2,1,2
GestureMultiAngle,2,92,6,4,6,2,1,1
GestureMultiAngle,2,93,6,5,6,3,1,1
GestureMultiAngle,2,94,6,6,6,3,1,2
GestureMultiAngle,2,95,6,7,6,4,1,1
GestureMultiAngle,2,96,6,8,6,1,1,2
GestureMultiAngle,3,97,1,1,1,1,1,1
GestureMultiAngle,3,98,1,2,1,1,1,2
GestureMultiAngle,3,99,1,3,1,3,1,1
GestureMultiAngle,3,100,1,4,1,2,1,2
GestureMultiAngle,3,101,1,5,1,3,1,2
GestureMultiAngle,3,102,1,6,1,4,1,1
GestureMultiAngle,3,103,1,7,1,4,1,2
GestureMultiAngle,3,104,1,8,1,2,1,1
GestureMultiAngle,3,105,2,1,2,1,1,1
GestureMultiAngle,3,106,2,2,2,1,1,2
GestureMultiAngle,3,107,2,3,2,3,1,1
GestureMultiAngle,3,108,2,4,2,2,1,2
