DesignName,ParticipantID,TrialID,Block1,Block2,Block,NbModi,Size,Repeat
KeyMultiModi,1,1,1,1,1,2,3,1
KeyMultiModi,1,2,1,2,1,3,1,1
KeyMultiModi,1,3,1,3,1,3,2,1
KeyMultiModi,1,4,1,4,1,1,2,1
KeyMultiModi,1,5,1,5,1,1,4,1
KeyMultiModi,1,6,1,6,1,3,4,1
KeyMultiModi,1,7,1,7,1,2,2,1
KeyMultiModi,1,8,1,8,1,1,1,1
KeyMultiModi,1,9,1,9,1,2,4,1
KeyMultiModi,1,10,1,10,1,3,3,1
KeyMultiModi,1,11,1,11,1,1,3,1
KeyMultiModi,1,12,1,12,1,2,1,1
KeyMultiModi,1,13,2,1,2,2,3,1
KeyMultiModi,1,14,2,2,2,3,1,1
KeyMultiModi,1,15,2,3,2,3,2,1
KeyMultiModi,1,16,2,4,2,1,2,1
KeyMultiModi,1,17,2,5,2,1,4,1
KeyMultiModi,1,18,2,6,2,3,4,1
KeyMultiModi,1,19,2,7,2,2,2,1
KeyMultiModi,1,20,2,8,2,1,1,1
KeyMultiModi,1,21,2,9,2,2,4,1
KeyMultiModi,1,22,2,10,2,3,3,1
KeyMultiModi,1,23,2,11,2,1,3,1
KeyMultiModi,1,24,2,12,2,2,1,1
KeyMultiModi,1,25,3,1,3,2,3,1
KeyMultiModi,1,26,3,2,3,3,1,1
KeyMultiModi,1,27,3,3,3,3,2,1
KeyMultiModi,1,28,3,4,3,1,2,1
KeyMultiModi,1,29,3,5,3,1,4,1
KeyMultiModi,1,30,3,6,3,3,4,1
KeyMultiModi,1,31,3,7,3,2,2,1
KeyMultiModi,1,32,3,8,3,1,1,1
KeyMultiModi,1,33,3,9,3,2,4,1
KeyMultiModi,1,34,3,10,3,3,3,1
KeyMultiModi,1,35,3,11,3,1,3,1
KeyMultiModi,1,36,3,12,3,2,1,1
KeyMultiModi,1,37,4,1,4,2,3,1
KeyMultiModi,1,38,4,2,4,3,1,1
KeyMultiModi,1,39,4,3,4,3,2,1
KeyMultiModi,1,40,4,4,4,1,2,1
KeyMultiModi,1,41,4,5,4,1,4,1
KeyMultiModi,1,42,4,6,4,3,4,1
KeyMultiModi,1,43,4,7,4,2,2,1
KeyMultiModi,1,44,4,8,4,1,1,1
KeyMultiModi,1,45,4,9,4,2,4,1
KeyMultiModi,1,46,4,10,4,3,3,1
KeyMultiModi,1,47,4,11,4,1,3,1
KeyMultiModi,1,48,4,12,4,2,1,1
KeyMultiModi,1,49,5,1,5,2,3,1
KeyMultiModi,1,50,5,2,5,3,1,1
KeyMultiModi,1,51,5,3,5,3,2,1
KeyMultiModi,1,52,5,4,5,1,2,1
KeyMultiModi,1,53,5,5,5,1,4,1
KeyMultiModi,1,54,5,6,5,3,4,1
KeyMultiModi,1,55,5,7,5,2,2,1
KeyMultiModi,1,56,5,8,5,1,1,1
KeyMultiModi,1,57,5,9,5,2,4,1
KeyMultiModi,1,58,5,10,5,3,3,1
KeyMultiModi,1,59,5,11,5,1,3,1
KeyMultiModi,1,60,5,12,5,2,1,1
KeyMultiModi,1,61,6,1,6,2,3,1
KeyMultiModi,1,62,6,2,6,3,1,1
KeyMultiModi,1,63,6,3,6,3,2,1
KeyMultiModi,1,64,6,4,6,1,2,1
KeyMultiModi,1,65,6,5,6,1,4,1
KeyMultiModi,1,66,6,6,6,3,4,1
KeyMultiModi,1,67,6,7,6,2,2,1
KeyMultiModi,1,68,6,8,6,1,1,1
KeyMultiModi,1,69,6,9,6,2,4,1
KeyMultiModi,1,70,6,10,6,3,3,1
KeyMultiModi,1,71,6,11,6,1,3,1
KeyMultiModi,1,72,6,12,6,2,1,1
KeyMultiModi,2,73,1,1,1,2,4,1
KeyMultiModi,2,74,1,2,1,3,2,1
KeyMultiModi,2,75,1,3,1,3,3,1
KeyMultiModi,2,76,1,4,1,1,3,1
KeyMultiModi,2,77,1,5,1,2,1,1
KeyMultiModi,2,78,1,6,1,1,1,1
KeyMultiModi,2,79,1,7,1,2,3,1
KeyMultiModi,2,80,1,8,1,1,2,1
KeyMultiModi,2,81,1,9,1,3,1,1
KeyMultiModi,2,82,1,10,1,3,4,1
KeyMultiModi,2,83,1,11,1,1,4,1
KeyMultiModi,2,84,1,12,1,2,2,1
KeyMultiModi,2,85,2,1,2,2,4,1
KeyMultiModi,2,86,2,2,2,3,2,1
KeyMultiModi,2,87,2,3,2,3,3,1
KeyMultiModi,2,88,2,4,2,1,3,1
KeyMultiModi,2,89,2,5,2,2,1,1
KeyMultiModi,2,90,2,6,2,1,1,1
KeyMultiModi,2,91,2,7,2,2,3,1
KeyMultiModi,2,92,2,8,2,1,2,1
KeyMultiModi,2,93,2,9,2,3,1,1
KeyMultiModi,2,94,2,10,2,3,4,1
KeyMultiModi,2,95,2,11,2,1,4,1
KeyMultiModi,2,96,2,12,2,2,2,1
KeyMultiModi,2,97,3,1,3,2,4,1
KeyMultiModi,2,98,3,2,3,3,2,1
KeyMultiModi,2,99,3,3,3,3,3,1
KeyMultiModi,2,100,3,4,3,1,3,1
KeyMultiModi,2,101,3,5,3,2,1,1
KeyMultiModi,2,102,3,6,3,1,1,1
KeyMultiModi,2,103,3,7,3,2,3,1
KeyMultiModi,2,104,3,8,3,1,2,1
KeyMultiModi,2,105,3,9,3,3,1,1
KeyMultiModi,2,106,3,10,3,3,4,1
KeyMultiModi,2,107,3,11,3,1,4,1
KeyMultiModi,2,108,3,12,3,2,2,1
KeyMultiModi,2,109,4,1,4,2,4,1
KeyMultiModi,2,110,4,2,4,3,2,1
KeyMultiModi,2,111,4,3,4,3,3,1
KeyMultiModi,2,112,4,4,4,1,3,1
KeyMultiModi,2,113,4,5,4,2,1,1
KeyMultiModi,2,114,4,6,4,1,1,1
KeyMultiModi,2,115,4,7,4,2,3,1
KeyMultiModi,2,116,4,8,4,1,2,1
KeyMultiModi,2,117,4,9,4,3,1,1
KeyMultiModi,2,118,4,10,4,3,4,1
KeyMultiModi,2,119,4,11,4,1,4,1
KeyMultiModi,2,120,4,12,4,2,2,1
KeyMultiModi,2,121,5,1,5,2,4,1
KeyMultiModi,2,122,5,2,5,3,2,1
KeyMultiModi,2,123,5,3,5,3,3,1
KeyMultiModi,2,124,5,4,5,1,3,1
KeyMultiModi,2,125,5,5,5,2,1,1
KeyMultiModi,2,126,5,6,5,1,1,1
KeyMultiModi,2,127,5,7,5,2,3,1
KeyMultiModi,2,128,5,8,5,1,2,1
KeyMultiModi,2,129,5,9,5,3,1,1
KeyMultiModi,2,130,5,10,5,3,4,1
KeyMultiModi,2,131,5,11,5,1,4,1
KeyMultiModi,2,132,5,12,5,2,2,1
KeyMultiModi,2,133,6,1,6,2,4,1
KeyMultiModi,2,134,6,2,6,3,2,1
KeyMultiModi,2,135,6,3,6,3,3,1
KeyMultiModi,2,136,6,4,6,1,3,1
KeyMultiModi,2,137,6,5,6,2,1,1
KeyMultiModi,2,138,6,6,6,1,1,1
KeyMultiModi,2,139,6,7,6,2,3,1
KeyMultiModi,2,140,6,8,6,1,2,1
KeyMultiModi,2,141,6,9,6,3,1,1
KeyMultiModi,2,142,6,10,6,3,4,1
KeyMultiModi,2,143,6,11,6,1,4,1
KeyMultiModi,2,144,6,12,6,2,2,1
KeyMultiModi,3,145,1,1,1,3,1,1
KeyMultiModi,3,146,1,2,1,3,3,1
KeyMultiModi,3,147,1,3,1,3,4,1
KeyMultiModi,3,148,1,4,1,1,4,1
KeyMultiModi,3,149,1,5,1,2,2,1
KeyMultiModi,3,150,1,6,1,1,2,1
KeyMultiModi,3,151,1,7,1,2,4,1
KeyMultiModi,3,152,1,8,1,1,3,1
KeyMultiModi,3,153,1,9,1,3,2,1
KeyMultiModi,3,154,1,10,1,1,1,1
KeyMultiModi,3,155,1,11,1,2,1,1
KeyMultiModi,3,156,1,12,1,2,3,1
KeyMultiModi,3,157,2,1,2,3,1,1
KeyMultiModi,3,158,2,2,2,3,3,1
KeyMultiModi,3,159,2,3,2,3,4,1
