DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,29,3585,1,1,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,107,-1,-1,-1,1.3,1.498,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3586,1,2,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,267,153,-1,-1,-1,0.591,0.803,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3587,1,3,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,24,-1,-1,-1,0.887,1.091,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3588,1,4,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,44,140,-1,-1,-1,0.839,1.031,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3589,1,5,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,55,139,315,321,74,1.19,1.401,1,1.58,1.821,1,-1,-1,-1,NaN,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,29,3585,1,1,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,123,-1,-1,-1,1.083,1.3,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3586,1,2,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,144,-1,-1,-1,0.765,0.992,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3587,1,3,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,32,-1,-1,-1,1.216,1.44,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3588,1,4,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,32,90,-1,-1,-1,1.022,1.214,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3589,1,5,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,46,86,315,313,66,1.156,1.377,1,1.071,1.303,1,-1,-1,-1,NaN,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,29,3585,1,1,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,105,-1,-1,-1,0.759,0.916,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3586,1,2,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,125,-1,-1,-1,0.8,0.968,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3587,1,3,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,57,-1,-1,-1,1.158,1.399,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3588,1,4,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,43,125,-1,-1,-1,1.112,1.355,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3589,1,5,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,37,112,315,300,56,1.274,1.482,1,1.552,1.761,1,-1,-1,-1,NaN,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,29,3585,1,1,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,146,-1,-1,-1,1.203,1.457,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3586,1,2,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,133,-1,-1,-1,0.913,1.123,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3587,1,3,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,267,96,-1,-1,-1,0.751,0.958,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3588,1,4,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,51,115,-1,-1,-1,1.998,2.211,2,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3589,1,5,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,33,115,315,307,52,1.22,1.454,1,0.839,1.04,1,-1,-1,-1,NaN,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,29,3585,1,1,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,151,-1,-1,-1,0.995,1.206,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3586,1,2,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,269,171,-1,-1,-1,0.703,0.912,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3587,1,3,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,117,-1,-1,-1,1.063,1.245,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
GestureMultiRepeat,29,3588,1,4,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,28,274,-1,-1,-1,1.023,1.242,1,-1,-1,-1,-1,-1,-1,NaN,AZERTY,touchpad
