DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
GestureMultiRepeat,61,5761,1,1,2,NE_SE,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,40,201,NaN,NaN,NaN,1.381,1.522,1,NaN,NaN,NaN,NaN,NaN,NaN,1424
GestureMultiRepeat,61,5762,1,2,3,N_E,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,97,237,NaN,NaN,NaN,1.088,1.178,1,NaN,NaN,NaN,NaN,NaN,NaN,752
GestureMultiRepeat,61,5763,1,3,1,N_E,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,94,76,NaN,NaN,NaN,0.838,0.93,1,NaN,NaN,NaN,NaN,NaN,NaN,1427
GestureMultiRepeat,61,5764,1,4,1,S_W,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,260,208,NaN,NaN,NaN,0.977,1.084,1,NaN,NaN,NaN,NaN,NaN,NaN,1427
GestureMultiRepeat,61,5765,1,5,1,S_W,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,266,92,180,183,124,11.408,11.509,12,1.712,1.845,2,NaN,NaN,NaN,475
GestureMultiRepeat,61,5766,1,6,4,NE_SE,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,45,269,315,301,303,2.072,2.164,1,0.375,0.485,1,NaN,NaN,NaN,551
GestureMultiRepeat,61,5767,1,7,2,S_W,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,269,159,NaN,NaN,NaN,1.011,1.118,1,NaN,NaN,NaN,NaN,NaN,NaN,1238
GestureMultiRepeat,61,5768,1,8,3,S_W,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,275,192,NaN,NaN,NaN,0.933,1.038,1,NaN,NaN,NaN,NaN,NaN,NaN,341
GestureMultiRepeat,61,5769,1,9,1,N_E,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,88,125,360,366,404,1.003,1.113,1,0.74,1.045,1,NaN,NaN,NaN,1332
GestureMultiRepeat,61,5770,1,10,4,NE_SE,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,33,330,NaN,NaN,NaN,0.938,1.034,1,NaN,NaN,NaN,NaN,NaN,NaN,506
GestureMultiRepeat,61,5771,1,11,4,N_E,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,222,NaN,NaN,NaN,0.926,1.006,1,NaN,NaN,NaN,NaN,NaN,NaN,654
GestureMultiRepeat,61,5772,1,12,1,NE_SE,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,47,143,NaN,NaN,NaN,1.002,1.106,1,NaN,NaN,NaN,NaN,NaN,NaN,1773
GestureMultiRepeat,61,5773,1,13,3,NE_SE,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,41,203,315,306,247,0.725,0.812,1,0.368,0.502,1,NaN,NaN,NaN,1260
GestureMultiRepeat,61,5774,1,14,2,S_W,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,272,207,180,180,243,0.786,0.906,1,0.515,0.649,1,NaN,NaN,NaN,969
GestureMultiRepeat,61,5775,1,15,3,S_W,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,277,166,180,184,262,1.003,1.118,1,0.343,0.474,1,NaN,NaN,NaN,632
GestureMultiRepeat,61,5776,1,16,4,S_W,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,265,215,NaN,NaN,NaN,0.641,0.75,1,NaN,NaN,NaN,NaN,NaN,NaN,1186
GestureMultiRepeat,61,5777,1,17,3,NE_SE,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,48,167,NaN,NaN,NaN,0.76,0.845,1,NaN,NaN,NaN,NaN,NaN,NaN,1414
GestureMultiRepeat,61,5778,1,18,2,N_E,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,83,175,NaN,NaN,NaN,0.708,0.807,1,NaN,NaN,NaN,NaN,NaN,NaN,1566
