DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiModi,46,4321,1,1,4,NaN,0,NaN,1,K,,NaN,NaN,NaN,2.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.276,2.466,1,NaN,NaN,NaN,NaN,NaN,NaN,357
KeyMultiModi,46,4322,1,2,2,NaN,1,NaN,1,A,Ctrl,1.656,NaN,NaN,2.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.509,2.029,1,NaN,NaN,NaN,NaN,NaN,NaN,688
KeyMultiModi,46,4323,1,3,2,NaN,2,NaN,1,B,Ctrl + Shift,1.958,NaN,1.976,2.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837,2.224,1,NaN,NaN,NaN,NaN,NaN,NaN,188
KeyMultiModi,46,4324,1,4,4,NaN,2,NaN,1,B,Ctrl + Shift,1.346,NaN,1.405,1.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.218,1.576,1,NaN,NaN,NaN,NaN,NaN,NaN,436
KeyMultiModi,46,4325,1,5,1,NaN,0,NaN,1,Y,,NaN,NaN,NaN,1.793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.392,1.793,1,NaN,NaN,NaN,NaN,NaN,NaN,331
KeyMultiModi,46,4326,1,6,1,NaN,2,NaN,1,B,Ctrl + Shift,2.63,NaN,2.69,2.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.42,2.914,1,NaN,NaN,NaN,NaN,NaN,NaN,339
KeyMultiModi,46,4327,1,7,3,NaN,0,NaN,1,K,,NaN,NaN,NaN,1.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.39,1.495,1,NaN,NaN,NaN,NaN,NaN,NaN,228
KeyMultiModi,46,4328,1,8,2,NaN,3,NaN,1,I,Ctrl + Alt + Shift,4.034,4.228,4.476,4.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.874,4.758,1,NaN,NaN,NaN,NaN,NaN,NaN,828
KeyMultiModi,46,4329,1,9,3,NaN,2,NaN,1,B,Ctrl + Shift,2.096,NaN,2.225,2.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.924,2.341,1,NaN,NaN,NaN,NaN,NaN,NaN,450
KeyMultiModi,46,4330,1,10,4,NaN,1,NaN,1,A,Ctrl,1.368,NaN,NaN,6.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.981,6.287,5,NaN,NaN,NaN,NaN,NaN,NaN,841
