DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
KeyMultiRepeat,1,1,1,1,3,-1,1,-1,1,K,Shift,-1,-1,4.936,5.128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.762,5.128,2,-1,-1,-1,-1,-1,-1,239,QWERTY,touchpad
KeyMultiRepeat,1,2,1,2,3,-1,1,-1,3,I,Shift,-1,-1,1.761,2.023,Y,Option,-1,1.348,-1,1.561,A,CMD,1.144,-1,-1,1.42,-1,-1,-1,-1,-1,-1,1.34,2.023,1,-1,1.561,1,-1,1.42,1,459,QWERTY,touchpad
KeyMultiRepeat,1,3,1,3,4,-1,1,-1,1,I,CMD,1.052,-1,-1,1.237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.796,1.237,1,-1,-1,-1,-1,-1,-1,848,QWERTY,touchpad
KeyMultiRepeat,1,4,1,4,1,-1,1,-1,2,X,Option,-1,1.457,-1,1.659,B,CMD,0.975,-1,-1,1.376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.197,1.659,1,-1,1.376,1,-1,-1,-1,530,QWERTY,touchpad
KeyMultiRepeat,1,5,1,5,2,-1,1,-1,1,A,Shift,-1,-1,1.652,1.866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.981,1.866,1,-1,-1,-1,-1,-1,-1,678,QWERTY,touchpad
KeyMultiRepeat,1,6,1,6,4,-1,1,-1,3,A,Option,-1,1.427,-1,1.619,K,CMD,0.816,-1,-1,0.992,X,Option,-1,0.858,-1,1.05,-1,-1,-1,-1,-1,-1,0.773,1.619,1,-1,0.992,1,-1,1.05,1,854,QWERTY,touchpad
KeyMultiRepeat,1,7,1,7,2,-1,1,-1,3,A,Option,-1,2.102,-1,2.405,B,Shift,-1,-1,1.334,1.723,X,CMD,0.75,-1,-1,1.209,-1,-1,-1,-1,-1,-1,0.93,2.405,1,-1,1.723,1,-1,1.209,1,254,QWERTY,touchpad
KeyMultiRepeat,1,8,1,8,1,-1,1,-1,1,Y,Shift,-1,-1,3.621,1.731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.848,3.739,2,-1,-1,-1,-1,-1,-1,583,QWERTY,touchpad
KeyMultiRepeat,1,9,1,9,3,-1,1,-1,2,B,CMD,1.134,-1,-1,1.34,Y,Option,-1,1.205,-1,1.334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.83,1.34,1,-1,1.334,1,-1,-1,-1,408,QWERTY,touchpad
KeyMultiRepeat,1,10,1,10,4,-1,1,-1,2,I,Shift,-1,-1,1.161,1.339,K,Shift,-1,-1,0.48,0.618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.714,1.339,1,-1,0.618,1,-1,-1,-1,594,QWERTY,touchpad
