DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,23,1585,1,1,2,NaN,1,NaN,2,X,Ctrl,3.389,NaN,NaN,3.389,X,Ctrl,0.031,NaN,NaN,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.688,3.389,1,NaN,0.031,0,NaN,NaN,NaN,300
KeyMultiRepeat,23,1586,1,2,3,NaN,1,NaN,1,I,Ctrl,9.729,NaN,NaN,9.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.843,9.854,4,NaN,NaN,NaN,NaN,NaN,NaN,496
KeyMultiRepeat,23,1587,1,3,3,NaN,1,NaN,2,I,Ctrl,2.235,NaN,NaN,2.322,Y,Ctrl,1.213,NaN,NaN,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012,2.322,2,NaN,1.3,1,NaN,NaN,NaN,620
KeyMultiRepeat,23,1588,1,4,4,NaN,1,NaN,3,Y,Ctrl,4.317,NaN,NaN,4.817,B,Ctrl,2.578,NaN,NaN,2.579,B,Ctrl,0.371,NaN,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,2.13,5.203,4,NaN,2.579,1,NaN,0.408,1,420
KeyMultiRepeat,23,1589,1,5,1,NaN,1,NaN,2,B,Ctrl,1.416,NaN,NaN,2.003,X,Ctrl,0.341,NaN,NaN,0.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.952,2.003,2,NaN,0.341,1,NaN,NaN,NaN,944
KeyMultiRepeat,23,1590,1,6,4,NaN,1,NaN,1,I,Ctrl,2.164,NaN,NaN,2.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.042,2.227,2,NaN,NaN,NaN,NaN,NaN,NaN,684
KeyMultiRepeat,23,1591,1,7,2,NaN,1,NaN,1,X,Ctrl,1.92,NaN,NaN,1.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,1.982,2,NaN,NaN,NaN,NaN,NaN,NaN,389
KeyMultiRepeat,23,1592,1,8,4,NaN,1,NaN,2,B,Ctrl,1.479,NaN,NaN,1.541,K,Ctrl,1.339,NaN,NaN,1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285,1.541,1,NaN,1.34,1,NaN,NaN,NaN,315
KeyMultiRepeat,23,1593,1,9,2,NaN,1,NaN,3,K,Ctrl,3.09,NaN,NaN,3.151,Y,Ctrl,1.075,NaN,NaN,1.075,B,Ctrl,0.512,NaN,NaN,0.512,NaN,NaN,NaN,NaN,NaN,NaN,2.741,3.151,1,NaN,1.075,1,NaN,0.512,1,863
KeyMultiRepeat,23,1594,1,10,3,NaN,1,NaN,3,A,Ctrl,2.136,NaN,NaN,2.31,B,Ctrl,1.162,NaN,NaN,1.162,Y,Ctrl,0.663,NaN,NaN,0.663,NaN,NaN,NaN,NaN,NaN,NaN,1.395,2.31,1,NaN,1.162,1,NaN,0.663,1,245
KeyMultiRepeat,23,1595,1,11,1,NaN,1,NaN,1,B,Ctrl,1.148,NaN,NaN,1.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.996,1.273,1,NaN,NaN,NaN,NaN,NaN,NaN,865
KeyMultiRepeat,23,1596,1,12,1,NaN,1,NaN,3,I,Ctrl,1.023,NaN,NaN,1.921,X,Ctrl,1.776,NaN,NaN,1.776,Y,Ctrl,0.325,NaN,NaN,0.337,NaN,NaN,NaN,NaN,NaN,NaN,0.892,1.921,1,NaN,1.776,1,NaN,0.337,1,542
KeyMultiRepeat,23,1597,2,1,2,NaN,1,NaN,2,I,Ctrl,2.398,NaN,NaN,4.344,B,Ctrl,0.712,NaN,NaN,0.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.248,4.344,2,NaN,0.712,1,NaN,NaN,NaN,1066
KeyMultiRepeat,23,1598,2,2,3,NaN,1,NaN,1,I,Ctrl,1.033,NaN,NaN,1.396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.987,1.396,1,NaN,NaN,NaN,NaN,NaN,NaN,850
