DesignName,ParticipantID,TrialID,Block1,Letter1,Modifier1,Size,Time
1key,1,1,1,Right,CMD_Shift,1,2.463
1key,1,2,2,Right,CMD,2,1.345
1key,1,3,3,Left,CMD_Shift,2,2.119
1key,1,4,4,Right,None,1,1.503
1key,1,5,5,Left,CMD_Alt_Shift,1,2.057
1key,1,6,6,Right,Alt,1,1.51
1key,1,7,7,Left,Alt,2,1.291
1key,1,8,8,Left,CMD_Shift,1,2.335
1key,1,9,9,Left,None,2,1.565
1key,1,10,10,Right,CMD_Alt_Shift,1,2.031
1key,1,11,11,Right,Alt,2,2.497
1key,1,12,12,Right,CMD_Alt_Shift,2,2.242
1key,1,13,13,Right,Alt,1,1.933
1key,1,14,14,Right,CMD,2,2.127
1key,1,15,15,Middle,None,2,1.517
1key,1,16,16,Middle,CMD,1,1.333
1key,1,17,17,Middle,CMD_Alt_Shift,1,2.299
1key,1,18,18,Left,Alt,1,1.766
1key,1,19,19,Left,CMD_Alt_Shift,2,1.456
1key,1,20,20,Middle,CMD,2,1.885
1key,1,21,21,Left,CMD_Shift,2,2.415
1key,1,22,22,Left,CMD_Alt_Shift,2,2.572
1key,1,23,23,Middle,Alt,2,1.479
1key,1,24,24,Middle,CMD_Shift,2,2.421
1key,1,25,25,Right,CMD_Shift,1,1.663
1key,1,26,26,Right,None,2,1.537
1key,1,27,27,Left,None,2,1.213
1key,1,28,28,Left,CMD,1,1.588
1key,1,29,29,Right,CMD,1,1.551
1key,1,30,30,Right,Alt,2,2.122
1key,1,31,31,Right,CMD_Alt_Shift,1,1.719
1key,1,32,32,Right,None,1,1.41
1key,1,33,33,Middle,None,1,1.254
1key,1,34,34,Right,CMD,1,2.069
1key,1,35,35,Right,None,2,1.031
1key,1,36,36,Left,CMD,2,1.958
1key,1,37,37,Right,CMD_Shift,2,1.665
1key,1,38,38,Right,CMD_Shift,2,1.566
1key,1,39,39,Left,Alt,1,1.838
1key,1,40,40,Left,Alt,2,1.764
1key,1,41,41,Left,CMD,2,1.655
1key,1,42,42,Left,None,1,2.057
1key,1,43,43,Right,CMD_Alt_Shift,2,2.654
1key,1,44,44,Left,CMD_Shift,1,2.067
1key,1,45,45,Middle,CMD_Alt_Shift,2,1.709
1key,1,46,46,Left,CMD_Alt_Shift,1,1.546
1key,1,47,47,Middle,CMD_Shift,1,3.01
1key,1,48,48,Left,CMD,1,1.523
