DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Modifier2,First,Second,Size,keyboardLayout,mouseType,targetDist,executionTimeCMD1,executionTimeAlt1,executionTimeShift1,executionTimeKey1,userAngle1,drawDist1,mouseClick1,totalExecutionTime1,NbOfAttempts1,executionTimeCMD2,executionTimeAlt2,executionTimeShift2,executionTimeKey2,userAngle2,drawDist2,mouseClick2,totalExecutionTime2,NbOfAttempts2
2dir,9,1025,1,-1,-1,-1,-1,W,W,1,QWERTY,touchpad,962.106542956652,-1,-1,-1,-1,180,286,0.532,1.785,1,-1,-1,-1,-1,-1,-1,-1,0.881,1
2dir,9,1026,2,-1,-1,-1,-1,W,NW,2,QWERTY,touchpad,1111.7450247246443,-1,-1,-1,-1,138.70842815713044,153.05554547287727,0.415,1.174,1,-1,-1,-1,-1,-1,-1,-1,0.664,1
2dir,9,1027,3,-1,-1,-1,-1,SW,NW,1,QWERTY,touchpad,1091.205296907965,-1,-1,-1,-1,139.23639479905884,114.86513831445988,0.554,1.362,1,-1,-1,-1,-1,-1,-1,-1,0.853,1
2dir,9,1028,4,-1,-1,-1,-1,S,SE,1,QWERTY,touchpad,1144.502075140102,-1,-1,-1,-1,316.10170611520635,73.55270219373317,0.52,1.211,1,-1,-1,-1,-1,-1,-1,-1,0.84,1
2dir,9,1029,5,-1,-1,-1,-1,E,SW,1,QWERTY,touchpad,667.4683513096332,-1,-1,-1,-1,214.91940201245768,129.2749008895385,0.515,1.215,1,-1,-1,-1,-1,-1,-1,-1,0.783,1
2dir,9,1030,6,-1,-1,-1,-1,SE,NW,2,QWERTY,touchpad,770.0551928271116,-1,-1,-1,-1,134.5046597805639,245.3752228730521,0.666,1.064,1,-1,-1,-1,-1,-1,-1,-1,0.984,1
2dir,9,1031,7,-1,-1,-1,-1,SE,N,2,QWERTY,touchpad,1010.705199353402,-1,-1,-1,-1,90,253,0.5,1.106,1,-1,-1,-1,-1,-1,-1,-1,0.785,1
2dir,9,1032,8,-1,-1,-1,-1,SE,W,2,QWERTY,touchpad,621.6912416947821,-1,-1,-1,-1,180,147,0.515,1.132,1,-1,-1,-1,-1,-1,-1,-1,0.732,1
2dir,9,1033,9,-1,-1,-1,-1,NW,W,1,QWERTY,touchpad,375.5808834325837,-1,-1,-1,-1,180,89,0.448,1.367,1,-1,-1,-1,-1,-1,-1,-1,0.699,1
2dir,9,1034,10,-1,-1,-1,-1,W,NE,1,QWERTY,touchpad,1083.5866370530784,-1,-1,-1,-1,23.600189867917777,112.40106761058811,0.665,1.183,1,-1,-1,-1,-1,-1,-1,-1,0.966,1
2dir,9,1035,11,-1,-1,-1,-1,NE,S,1,QWERTY,touchpad,480.1885046520793,-1,-1,-1,-1,270,157,0.686,1.329,1,-1,-1,-1,-1,-1,-1,-1,0.984,1
2dir,9,1036,12,-1,-1,-1,-1,W,SW,2,QWERTY,touchpad,560.7468234417382,-1,-1,-1,-1,223.31531568210372,240.52026941611388,0.65,1.422,1,-1,-1,-1,-1,-1,-1,-1,0.9,1
2dir,9,1037,13,-1,-1,-1,-1,NE,W,2,QWERTY,touchpad,1339.9541036916153,-1,-1,-1,-1,180,305,0.548,1.417,1,-1,-1,-1,-1,-1,-1,-1,0.799,1
2dir,9,1038,14,-1,-1,-1,-1,NE,NE,1,QWERTY,touchpad,386.10361303670805,-1,-1,-1,-1,41.117101439636315,156.6301375853319,0.504,1.429,1,-1,-1,-1,-1,-1,-1,-1,0.787,1
2dir,9,1039,15,-1,-1,-1,-1,NW,SE,1,QWERTY,touchpad,728.7173663362223,-1,-1,-1,-1,315.36493633573065,111.01801655587259,0.465,1.39,1,-1,-1,-1,-1,-1,-1,-1,0.769,1
