DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
GestureMultiRepeat,57,4033,1,1,1,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,95,97,270,264,123,6.059,6.289,1,0.515,0.69,1,0.417,0.534,1,762
GestureMultiRepeat,57,4034,1,2,2,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,237,117,360,361,235,1.6,1.715,1,0.15,0.303,1,NaN,NaN,NaN,677
GestureMultiRepeat,57,4035,1,3,2,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,268,123,360,363,161,0.88,1.007,1,0.215,0.334,1,0.249,0.415,1,637
GestureMultiRepeat,57,4036,1,4,4,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,56,450,NaN,NaN,NaN,0.802,0.937,1,NaN,NaN,NaN,NaN,NaN,NaN,1095
GestureMultiRepeat,57,4037,1,5,4,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,275,189,225,244,247,0.808,0.949,1,0.221,0.479,1,1.562,1.665,2,693
GestureMultiRepeat,57,4038,1,6,3,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,270,158,360,366,317,1.234,1.349,1,0.107,0.241,1,NaN,NaN,NaN,1101
GestureMultiRepeat,57,4039,1,7,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,223,87,270,266,83,1.121,1.253,1,0.732,0.866,2,NaN,NaN,NaN,599
GestureMultiRepeat,57,4040,1,8,3,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,162,270,276,191,1.19,1.32,1,0.167,0.337,1,0.972,1.091,1,547
GestureMultiRepeat,57,4041,1,9,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,94,201,NaN,NaN,NaN,0.962,1.07,1,NaN,NaN,NaN,NaN,NaN,NaN,815
GestureMultiRepeat,57,4042,1,10,3,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,219,208,NaN,NaN,NaN,1.024,1.104,1,NaN,NaN,NaN,NaN,NaN,NaN,1166
GestureMultiRepeat,57,4043,1,11,4,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,179,146,90,86,231,0.903,1.014,1,0.132,0.283,1,NaN,NaN,NaN,625
GestureMultiRepeat,57,4044,1,12,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,176,NaN,NaN,NaN,0.723,0.866,1,NaN,NaN,NaN,NaN,NaN,NaN,1176
GestureMultiRepeat,57,4045,2,1,1,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,175,61,90,100,59,0.914,1.065,1,0.223,0.424,1,0.496,0.625,1,812
GestureMultiRepeat,57,4046,2,2,2,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,172,360,364,174,0.835,0.941,1,0.202,0.314,1,NaN,NaN,NaN,656
GestureMultiRepeat,57,4047,2,3,2,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,225,181,180,190,171,0.794,0.912,1,0.159,0.28,1,0.184,0.312,1,1002
GestureMultiRepeat,57,4048,2,4,4,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,268,272,NaN,NaN,NaN,0.724,0.837,1,NaN,NaN,NaN,NaN,NaN,NaN,498
GestureMultiRepeat,57,4049,2,5,4,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,174,214,90,92,198,0.586,0.709,1,0.172,0.318,1,0.178,0.489,1,845
GestureMultiRepeat,57,4050,2,6,3,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,182,193,90,91,200,0.79,0.907,1,0.161,0.324,1,NaN,NaN,NaN,1202
GestureMultiRepeat,57,4051,2,7,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,77,61,360,363,141,1.021,1.169,1,0.139,0.276,1,NaN,NaN,NaN,587
GestureMultiRepeat,57,4052,2,8,3,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,80,178,360,362,154,0.776,0.926,1,0.158,0.301,1,0.238,0.391,1,1108
GestureMultiRepeat,57,4053,2,9,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,271,123,NaN,NaN,NaN,0.795,0.905,1,NaN,NaN,NaN,NaN,NaN,NaN,1225
GestureMultiRepeat,57,4054,2,10,3,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,187,251,NaN,NaN,NaN,0.695,0.835,1,NaN,NaN,NaN,NaN,NaN,NaN,554
GestureMultiRepeat,57,4055,2,11,4,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,363,203,45,44,255,0.761,0.867,1,0.18,0.303,1,NaN,NaN,NaN,1247
GestureMultiRepeat,57,4056,2,12,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,362,173,NaN,NaN,NaN,0.828,0.966,1,NaN,NaN,NaN,NaN,NaN,NaN,465
GestureMultiRepeat,57,4057,3,1,1,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,367,93,270,268,91,0.933,1.044,1,0.223,0.373,1,0.324,0.45,1,1469
GestureMultiRepeat,57,4058,3,2,2,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,267,126,225,246,140,0.799,0.904,1,0.149,0.277,1,NaN,NaN,NaN,551
GestureMultiRepeat,57,4059,3,3,2,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,53,128,270,269,139,0.852,0.972,1,0.859,0.999,2,0.347,0.468,1,466
GestureMultiRepeat,57,4060,3,4,4,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,359,359,NaN,NaN,NaN,0.733,0.841,1,NaN,NaN,NaN,NaN,NaN,NaN,704
GestureMultiRepeat,57,4061,3,5,4,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,360,150,90,90,162,0.974,1.102,1,0.198,0.358,1,0.447,0.569,1,792
GestureMultiRepeat,57,4062,3,6,3,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,233,133,180,170,288,0.816,0.928,1,0.312,0.444,1,NaN,NaN,NaN,562
GestureMultiRepeat,57,4063,3,7,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,102,80,45,57,122,0.788,0.936,1,0.776,0.92,2,NaN,NaN,NaN,646
GestureMultiRepeat,57,4064,3,8,3,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,356,147,180,187,220,1.136,1.26,1,0.206,0.37,1,0.24,0.379,1,444
GestureMultiRepeat,57,4065,3,9,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,230,163,NaN,NaN,NaN,0.709,0.797,1,NaN,NaN,NaN,NaN,NaN,NaN,257
GestureMultiRepeat,57,4066,3,10,3,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,83,231,NaN,NaN,NaN,0.812,0.931,1,NaN,NaN,NaN,NaN,NaN,NaN,230
GestureMultiRepeat,57,4067,3,11,4,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,160,270,284,240,0.885,0.988,1,0.191,0.32,1,NaN,NaN,NaN,536
GestureMultiRepeat,57,4068,3,12,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,272,120,NaN,NaN,NaN,1.063,1.237,1,NaN,NaN,NaN,NaN,NaN,NaN,849
GestureMultiRepeat,57,4069,4,1,1,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,95,86,180,172,101,0.931,1.041,1,0.24,0.371,1,0.318,0.82,1,524
GestureMultiRepeat,57,4070,4,2,2,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,357,175,90,91,237,0.91,1.047,1,0.362,0.512,1,NaN,NaN,NaN,376
GestureMultiRepeat,57,4071,4,3,2,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,89,136,180,185,134,0.933,1.085,1,0.191,0.34,1,0.208,0.351,1,1156
GestureMultiRepeat,57,4072,4,4,4,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,246,NaN,NaN,NaN,0.615,0.724,1,NaN,NaN,NaN,NaN,NaN,NaN,596
GestureMultiRepeat,57,4073,4,5,4,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,319,225,220,358,0.759,0.884,1,0.267,0.442,1,0.246,0.364,1,1113
GestureMultiRepeat,57,4074,4,6,3,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,221,196,360,368,258,0.724,0.84,1,0.215,0.333,1,NaN,NaN,NaN,834
GestureMultiRepeat,57,4075,4,7,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,188,63,360,357,81,1.094,1.19,1,0.158,0.269,1,NaN,NaN,NaN,807
GestureMultiRepeat,57,4076,4,8,3,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,360,368,174,225,240,125,0.901,0.998,1,0.354,0.456,1,0.277,0.376,1,1059
GestureMultiRepeat,57,4077,4,9,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,191,101,NaN,NaN,NaN,0.783,0.862,1,NaN,NaN,NaN,NaN,NaN,NaN,855
GestureMultiRepeat,57,4078,4,10,3,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,245,231,NaN,NaN,NaN,0.633,0.75,1,NaN,NaN,NaN,NaN,NaN,NaN,1074
GestureMultiRepeat,57,4079,4,11,4,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,174,239,90,87,208,0.762,0.893,1,0.214,0.34,1,NaN,NaN,NaN,612
GestureMultiRepeat,57,4080,4,12,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,236,100,NaN,NaN,NaN,1.107,1.201,1,NaN,NaN,NaN,NaN,NaN,NaN,598
GestureMultiRepeat,57,4081,5,1,1,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,219,72,45,48,80,1.594,1.717,1,0.168,0.295,1,1.539,1.657,2,568
