DesignName, ParticipantID, TrialID, Block1, Letter1, Letter2, Modifier1, Modifier2, Size, targetDist, targetSize, executionTimeCMD1, executionTimeAlt1, executionTimeShift1, executionTimeKey, totalExecutionTime, drawDist, userAngle1
2dir,1,19,19,-1,-1,-1,-1,1,656.7450037876192,44.894367644223934,-1,-1,-1,-1,334,NaN,305.4230099407064
2dir,1,5,5,-1,-1,-1,-1,3,930.3359608227557,89.28073883528256,-1,-1,-1,-1,337,NaN,270
2dir,1,18,18,-1,-1,-1,-1,2,478.23425222374027,101.55124074403045,-1,-1,-1,-1,297,NaN,121.26373169437741
2dir,1,4,4,-1,-1,-1,-1,3,698.3301511462898,86.27362526909441,-1,-1,-1,-1,332,NaN,89.61803379527096
2dir,9,3125,53,-1,-1,-1,-1,3,582.5495687063891,110.6449281541736,-1,-1,-1,-1,317,NaN,224.59651526494125
2dir,10,3619,163,-1,-1,-1,-1,2,478.160015057721,26.199747388686855,-1,-1,-1,-1,313,NaN,270
2dir,9,3106,34,-1,-1,-1,-1,2,909.9060391051374,72.4161048130744,-1,-1,-1,-1,333,NaN,360.3148088073891
2dir,1,27,27,-1,-1,-1,-1,3,916.5424158215483,43.131279182014815,-1,-1,-1,-1,385,NaN,42.075022050843614
2dir,9,3076,4,-1,-1,-1,-1,2,711.6972671016799,30.251027178602296,-1,-1,-1,-1,432,NaN,270
2dir,1,35,35,-1,-1,-1,-1,3,992.9133899792066,105.73548002409774,-1,-1,-1,-1,400,NaN,316.1233027140754
2dir,13,4681,73,-1,-1,-1,-1,1,332.05421244128195,108.26452313914481,-1,-1,-1,-1,300,224,360
2dir,14,5140,148,-1,-1,-1,-1,1,723.5530388299119,43.65630955358634,-1,-1,-1,-1,297,97.8008179924892,52.895765094293765
2dir,13,4611,3,-1,-1,-1,-1,1,811.428986418405,93.74738031999611,-1,-1,-1,-1,316,187.52333188166213,124.79177364118615
2dir,6,2052,132,-1,-1,-1,-1,3,699.7320915893454,98.32980215928538,-1,-1,-1,-1,282,138.6578522839583,313.24659513992844
2dir,14,5243,251,-1,-1,-1,-1,3,468.92323465573764,72.41549391782101,-1,-1,-1,-1,349,116,90
2dir,19,7285,373,-1,-1,-1,-1,3,507.0276126602968,67.98576931303661,-1,-1,-1,-1,366,178.07021087200408,178.3909910939526
2dir,2,514,130,-1,-1,-1,-1,1,1094.358259437923,123.25558193810788,-1,-1,-1,-1,279,199,180
2dir,11,4099,259,-1,-1,-1,-1,3,882.6380911789385,48.75049343660764,-1,-1,-1,-1,364,114.06138698087096,205.44174846300257
2dir,20,7498,202,-1,-1,-1,-1,2,579.0379952990995,39.132998052074306,-1,-1,-1,-1,2200,198.1136037731887,122.0053832080835
1key,1,19,19,Middle,-1,Alt,-1,2,687.1768331368571,50.522915862134276,-1,860,-1,1005,1005,-1,-1
1key,3,73,13,Middle,-1,None,-1,2,637.8165880564726,115.58756132899347,-1,-1,-1,326,326,-1,-1
1key,3,84,24,Left,-1,CMD_Alt_Shift,-1,2,659.0978683018175,120.19562674519352,1402,1435,1399,1825,1825,-1,-1
1key,1,12,12,Left,-1,Alt,-1,1,867.6739018778887,76.34012941575536,-1,419,-1,614,614,-1,-1
1key,3,88,28,Left,-1,CMD,-1,1,701.6102906884989,119.80860532930576,364,-1,-1,1261,1261,-1,-1
1key,1,6,6,Right,-1,Alt,-1,1,414.77945947213925,110.2458719168894,1132,450,-1,679,679,-1,-1
1key,4,95,5,Right,-1,Alt,-1,1,858.972642172031,111.27506144377286,-1,467,-1,744,744,-1,-1
1key,4,97,7,Left,-1,CMD,-1,1,477.7970280359642,122.31288248671102,258,-1,-1,1073,1073,-1,-1
1key,1,4,4,Right,-1,None,-1,1,521.0239917700527,84.7120496833318,-1,-1,-1,433,433,-1,-1
1key,4,106,16,Left,-1,Alt,-1,2,358.8997074392789,78.84712566129278,-1,428,-1,850,850,-1,-1
1key,2,38,8,Right,-1,CMD_Alt_Shift,-1,1,504.0972128468873,29.77576973722472,327,328,327,522,522,-1,-1
1key,5,123,3,Middle,-1,CMD_Shift,-1,1,412.60392630221054,76.46776600344798,718,-1,713,933,933,-1,-1
1key,2,46,16,Left,-1,CMD,-1,2,698.3158311251435,38.45726506591626,312,-1,-1,668,668,-1,-1
1key,2,52,22,Right,-1,None,-1,1,517.4263232577175,121.0061446402641,-1,-1,-1,855,855,-1,-1
1key,2,47,17,Left,-1,CMD_Alt_Shift,-1,2,588.3196410115847,93.94312779927597,297,297,361,586,586,-1,-1
1key,2,48,18,Middle,-1,Alt,-1,2,464.53955698088834,123.28938684808739,-1,618,-1,952,952,-1,-1
1key,2,44,14,Right,-1,Alt,-1,1,800.8957485216163,59.91161644492684,-1,0,-1,582,582,-1,-1
1key,2,42,12,Left,-1,Alt,-1,2,728.5615965723146,42.72080867879646,-1,202,-1,492,492,-1,-1
1key,5,140,20,Left,-1,CMD_Shift,-1,2,893.2955837795237,103.04922941758099,1060,-1,1057,1732,1732,-1,-1
1key,6,160,10,Middle,-1,Alt,-1,2,243.26323191144198,102.90751263092064,-1,268,-1,475,475,-1,-1
1key,9,245,5,Right,-1,CMD_Alt_Shift,-1,2,205.8275977608445,58.07630073235336,646,647,671,973,973,-1,-1
1key,8,213,3,Middle,-1,CMD_Alt_Shift,-1,2,638.7965247244227,49.07287214208377,465,458,479,643,643,-1,-1
1key,7,210,30,Left,-1,None,-1,2,269.675731203236,80.5885324866788,-1,-1,-1,442,442,-1,-1
1key,11,328,28,Middle,-1,None,-1,1,158.3729774930054,43.1924067575038,-1,-1,-1,729,729,-1,-1
1key,9,260,20,Middle,-1,None,-1,2,616.0819750650071,99.37952260964066,-1,-1,-1,284,284,-1,-1
1key,14,412,22,Left,-1,CMD,-1,1,329.50872522590356,123.99008458806117,754,-1,-1,933,933,-1,-1
1key,9,263,23,Middle,-1,CMD,-1,2,752.40946299206,99.80868222095658,1120,-1,-1,1643,1643,-1,-1
1dir,1,5,5,-1,-1,-1,-1,1,458.40157067793734,72.26033704692287,-1,-1,-1,-1,332,186.07794065928394,239.3002774491856
1dir,1,9,9,-1,-1,-1,-1,2,904.5595613335807,52.93875942332495,-1,-1,-1,-1,334,183.15294155431957,44.33637199998674
1dir,1,14,14,-1,-1,-1,-1,3,850.8078513977172,53.837059759163175,-1,-1,-1,-1,368,201.79197209007103,219.36931724236473
1dir,1,20,20,-1,-1,-1,-1,1,627.5388434192739,71.8205762442875,-1,-1,-1,-1,435,140,270
1dir,1,27,27,-1,-1,-1,-1,1,632.7242685404125,94.02178325468907,-1,-1,-1,-1,315,201,180
1dir,1,35,35,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,731,0,180
1dir,1,44,44,-1,-1,-1,-1,3,895.321729882616,30.92061164504536,-1,-1,-1,-1,438,140.85808461000738,317.5895018472409
1dir,2,54,6,-1,-1,-1,-1,1,531.5947704784162,99.17821028632126,-1,-1,-1,-1,429,175.41949720598336,28.61045966596521
1dir,2,55,7,-1,-1,-1,-1,3,805.6326706384244,112.46172568781489,-1,-1,-1,-1,432,178.19652072922187,225.45471886169315
2key,1,4,4,Left,Right,None,-1,1,921.7917335276987,71.5154654470007,-1,-1,-1,285,285,-1,-1
2key,1,6,6,Middle,Right,CMD_Shift,-1,1,663.1297007373445,39.01192972331995,740,-1,740,936,936,-1,-1
2key,1,8,8,Middle,Right,CMD_Shift,-1,2,931.0263154175611,85.36492688500383,1137,-1,1137,1329,1329,-1,-1
2key,1,10,10,Middle,Middle,CMD_Alt_Shift,-1,1,611.8373966994826,88.39538275188741,1111,1125,1187,1425,1426,-1,-1
2key,1,12,12,Middle,Right,Alt,-1,2,399.831214389272,101.87135435066736,-1,524,-1,842,842,-1,-1
2key,1,14,14,Right,Left,Alt,-1,1,697.6374416557643,72.92962819614553,-1,261,-1,1583,1583,-1,-1
2key,1,16,16,Right,Middle,CMD_Shift,-1,2,275.2816739269071,110.12708483620722,1238,-1,1238,1558,1558,-1,-1
2key,1,18,18,Right,Right,CMD_Shift,-1,2,616.8443888048265,78.10707987667914,428,-1,417,636,636,-1,-1
2key,1,20,20,Right,Middle,CMD_Shift,-1,1,542.7504030399241,34.741016050851485,254,-1,251,469,469,-1,-1
2key,1,24,24,Left,Left,CMD_Shift,-1,2,655.1717332119877,110.38189708714683,524,-1,530,945,945,-1,-1
2key,1,26,26,Right,Right,CMD_Shift,-1,1,650.969277308845,88.64328200144267,339,-1,335,524,524,-1,-1
2key,1,28,28,Middle,Left,CMD,-1,1,700.9607692303472,84.31836164843764,695,-1,-1,992,993,-1,-1
2key,1,30,30,Left,Right,Alt,-1,2,596.1417616641196,69.80695947069601,-1,683,-1,852,852,-1,-1
2key,1,32,32,Middle,Middle,None,-1,1,799.7980995226233,68.14871629574806,-1,-1,-1,534,534,-1,-1
2key,1,34,34,Middle,Right,CMD_Alt_Shift,-1,2,419.8392549536072,60.75574602472661,475,490,506,685,685,-1,-1
2key,1,36,36,Middle,Right,CMD,-1,1,633.4106093206839,101.51416992437566,1055,-1,-1,1608,1608,-1,-1
2key,1,38,38,Right,Left,CMD_Alt_Shift,-1,1,341.15685541990797,81.48758704234649,339,339,390,666,666,-1,-1
2key,1,40,40,Left,Middle,Alt,-1,2,586.850918036259,121.78431978149473,-1,372,-1,914,914,-1,-1
2dir,1,2,2,-1,-1,-1,-1,1,862.2557625206108,47.48847285658763,-1,-1,-1,-1,289,325,360
2dir,1,3,3,-1,-1,-1,-1,1,794.8918165385778,80.57169400932628,-1,-1,-1,-1,314,227.7015590636129,51.41878673023879
2dir,1,4,4,-1,-1,-1,-1,3,851.5615068801549,27.46411178310961,-1,-1,-1,-1,317,155,90
2dir,1,5,5,-1,-1,-1,-1,3,752.1655402901678,122.84114411401764,-1,-1,-1,-1,317,175.26266002774236,276.88172363063694
2dir,1,6,6,-1,-1,-1,-1,1,814.4771328895613,56.86662816802318,-1,-1,-1,-1,416,170.55204484262273,50.71059313749964
2dir,1,7,7,-1,-1,-1,-1,3,690.0528965231579,33.15547900191803,-1,-1,-1,-1,296,140,180
2dir,1,8,8,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,668,0,180
2dir,1,9,9,-1,-1,-1,-1,1,519.649882132191,104.52085328025483,-1,-1,-1,-1,366,231.10603626906848,178.2642954110716
2dir,1,10,10,-1,-1,-1,-1,1,604.8346881586737,65.53308876581667,-1,-1,-1,-1,331,142,360
